"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Ajaponicus"
"3","50","959220.7441459954","959220.7441459954","0.00238902975134414"
"3","38","1122430.331067366","1122430.331067366","8.478448462662866E-4"
"3","57","1044388.0388533743","1044388.0388533743","0.0014072589789616027"
"3","36","1124994.6672318038","1124994.6672318038","8.34254828803962E-4"
"3","7","769455.773647842","769455.773647842","0.007839337821553879"
"3","6","757091.1556741362","757091.1556741362","0.008546064681612696"
"3","5","750569.263692565","750569.263692565","0.009555649318684497"
"3","4","753636.5525238271","753636.5525238271","0.008661055770000006"
"3","11","560531.9252281707","560531.9252281707","0.0292434072606666"
"3","30","1146073.1950883407","1146073.1950883407","0.0012977804355380233"
"3","28","1093107.7445522002","1093107.7445522002","0.0010199095068405863"
"3","29","1009003.9829951109","1009003.9829951109","0.0017326986972055066"
"3","25","1147991.5679568376","1147991.5679568376","7.217130781858615E-4"
"3","18","1011480.0096887721","1011480.0096887721","0.002190463730522552"
"3","19","1051358.7479067259","1051358.7479067259","0.0013268244342055412"
"3","15","1131322.0828747216","1131322.0828747216","8.016464867869153E-4"
"3","8","954950.468087219","954950.468087219","0.002435834970482096"
"3","56","1110270.1792356647","1110270.1792356647","0.001830765969411179"
"3","64","1100093.1364661788","1100093.1364661788","9.759895388954541E-4"
"3","55","1072768.490635326","1072768.490635326","0.001159371929358358"
"3","54","1062576.096286753","1062576.096286753","0.0012362766244077956"
"3","51","1037676.1255806148","1037676.1255806148","0.0014462981209516135"
"3","53","1032122.2643175544","1032122.2643175544","0.0014978099815294744"
"3","62","1019006.4720599157","1019006.4720599157","0.0016268588491016"
"3","52","1029679.9999999979","1029679.9999999979","0.0017331441220345201"
"3","48","1008119.5089869037","1008119.5089869037","0.0017478424604416422"
"3","49","992079.2531345446","992079.2531345446","0.0019374613559527813"
"3","40","772494.6790755244","772494.6790755244","0.007695517622078975"
"3","35","735365.8855970937","735365.8855970937","0.009717868229074646"
"3","47","939909.4682468075","939909.4682468075","0.0026779940497724136"
"3","46","913624.5539607594","913624.5539607594","0.00575308982533433"
"3","44","818620.8649307671","818620.8649307671","0.006258081117307798"
"3","37","744200.9514237385","744200.9514237385","0.00924725725141906"
"3","16","421134.3083862909","421134.3083862909","0.07177230219949786"
"3","31","582477.9539175696","582477.9539175696","0.02677497491455983"
"3","23","391236.7610539675","391236.7610539675","0.08498206273417512"
"3","22","388316.6280240898","388316.6280240898","0.0865602716003624"
"3","21","388814.8150469569","388814.8150469569","0.08628896378967896"
"3","20","385304.56161327666","385304.56161327666","0.08821888020214338"
"3","10","213176.2238149457","213176.2238149457","0.260984191905193"
"3","17","103311.43789532656","103311.43789532656","0.5215238406936803"
