"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Nplicata"
"4","116","1819301.8917430902","1819301.8917430902","1.0501041101695921E-5"
"4","114","1739218.2871623645","1739218.2871623645","1.7393703378337746E-5"
"4","107","1649381.1878398485","1649381.1878398485","3.063680898797669E-5"
"4","108","1512376.515851787","1512376.515851787","7.263994234769968E-5"
"4","111","1543389.9201433158","1543389.9201433158","5.974520864125738E-5"
"4","101","1492311.013327983","1492311.013327983","8.243041264071123E-5"
"4","100","1504269.1123598833","1504269.1123598833","7.644736236700977E-5"
"4","102","1428717.137854793","1428717.137854793","1.2306109737564834E-4"
"4","97","1423152.4858917936","1423152.4858917936","1.274527504966862E-4"
"4","103","1444133.9116923998","1444133.9116923998","1.1166849942428675E-4"
"4","92","1413270.8735412303","1413270.8735412303","1.3564119007994734E-4"
"4","93","1345659.9999999974","1345659.9999999974","2.0769113703862966E-4"
"4","96","1356019.6447323295","1356019.6447323295","1.94566194146839E-4"
"4","85","1339707.2899704596","1339707.2899704596","2.1562959462765994E-4"
"4","83","1314950.67968346","1314950.67968346","2.520334622129568E-4"
"4","81","1315030.7753052753","1315030.7753052753","2.519062906037035E-4"
"4","80","1288812.7213835195","1288812.7213835195","2.9715859175695534E-4"
"4","89","1272568.9930608848","1272568.9930608848","3.291860847096047E-4"
"4","70","1227332.6460255159","1227332.6460255159","4.3776082985426873E-4"
"4","67","1211757.7213288117","1211757.7213288117","4.82902889061127E-4"
"4","110","1608417.0714401135","1608417.0714401135","3.965951672882311E-5"
"4","105","1503635.822564756","1503635.822564756","7.675304066147206E-5"
"4","104","1563795.809081221","1563795.809081221","5.253631233327971E-5"
"4","106","1523676.9448935003","1523676.9448935003","6.764727802238995E-5"
"4","98","1599397.5547061434","1599397.5547061434","4.1978851730605834E-5"
"4","76","1415717.7300577941","1415717.7300577941","1.3356585085688458E-4"
"4","75","1404930.45464891","1404930.45464891","1.4296057451807659E-4"
"4","78","1304536.2684494418","1304536.2684494418","2.691278621274207E-4"
"4","63","936031.0392823505","936031.0392823505","0.002744248637816926"
"4","43","826208.6928252437","826208.6928252437","0.0054823565875510944"
"4","68","1170618.89955698","1170618.89955698","6.258089899781887E-4"
"4","50","671559.0455797602","671559.0455797602","0.01452737415521958"
"4","38","621495.6218671203","621495.6218671203","0.0199155592266267"
"4","57","548382.5603536266","548382.5603536266","0.03157012967489823"
"4","36","601656.6423633989","601656.6423633989","0.022567558545866732"
"4","7","30788.77717610753","30788.77717610753","0.8236492627010376"
"4","6","9760.0","9760.0","0.9403519499723098"
"4","5","1190.0","1190.0","0.9925294520752547"
