"ID1","ID2","Dist","DistM"
"1","3","1220.0","1220.0"
"5","6","7697.194294026883","7697.194294026883"
"4","6","9760.0","9760.0"
"4","5","1190.0","1190.0"
"6","7","19003.03396829043","19003.03396829043"
"20","23","3660.0","3660.0"
"20","22","1704.2593699317015","1704.2593699317015"
"20","21","2380.0","2380.0"
"12","14","1220.0","1220.0"
"21","23","3408.518739863403","3408.518739863403"
"21","22","5950.0","5950.0"
"22","23","1190.0","1190.0"
"18","19","9520.0","9520.0"
"28","30","6985.563685201073","6985.563685201073"
"30","45","9654.185620755383","9654.185620755383"
"35","40","11306.652908796661","11306.652908796661"
"35","37","15661.241968630713","15661.241968630713"
"37","40","4324.176222126013","4324.176222126013"
"46","47","6817.037479726806","6817.037479726806"
"36","38","1220.0","1220.0"
"36","41","9760.0","9760.0"
"48","53","17169.755385560973","17169.755385560973"
"48","62","13634.074959453612","13634.074959453612"
"48","49","2380.0","2380.0"
"49","53","18300.0","18300.0"
"52","62","3570.0","3570.0"
"54","62","9256.16011097453","9256.16011097453"
"59","60","10392.425126023281","10392.425126023281"
"60","69","2440.0","2440.0"
"38","41","1220.0","1220.0"
"51","55","6100.0","6100.0"
"51","53","12325.343808592","12325.343808592"
"58","59","4760.0","4760.0"
"61","69","7320.0","7320.0"
"53","55","15859.999999999767","15859.999999999767"
"53","62","19079.046097748178","19079.046097748178"
"67","70","2674.471910489994","2674.471910489994"
"67","68","8023.415731469983","8023.415731469983"
"68","70","15897.05947651955","15897.05947651955"
"65","73","11306.652908796661","11306.652908796661"
"75","76","5950.0","5950.0"
"72","73","19596.295568295554","19596.295568295554"
"66","72","16939.365395433208","16939.365395433208"
"66","73","14280.0","14280.0"
"86","90","10199.313702401745","10199.313702401745"
"87","96","14332.02009487846","14332.02009487846"
"87","90","13592.045467846257","13592.045467846257"
"79","84","1704.2593699317015","1704.2593699317015"
"94","99","8540.0","8540.0"
"100","108","18721.303373429855","18721.303373429855"
"97","103","19952.844408755358","19952.844408755358"
"101","111","18781.863592306276","18781.863592306276"
"102","105","7320.0","7320.0"
"113","115","18781.863592306276","18781.863592306276"
"104","110","1704.2593699317015","1704.2593699317015"
"104","106","14441.54077652376","14441.54077652376"
"73","89","14280.0","14280.0"
"73","77","2440.0","2440.0"
