"Coord1","Coord2","Cost","Length"
"889447.6153845601-1527996.354163353","893017.6153845601-1536536.354163353","9256.160110974744","9256.160110974744"
"73107.61538456054-2419816.3541633515","74297.61538456054-2419816.3541633515","1190.0","1190.0"
"832327.6153845601-1795176.3541633526","837087.6153845601-1806156.3541633526","11967.372309742854","11967.372309742854"
"864457.6153845601-1541416.354163353","870407.6153845601-1526776.354163353","15802.914288193808","15802.914288193808"
"411067.6153845603-1179076.3541633538","452717.6153845603-1259596.3541633538","90654.24921094433","90654.24921094433"
"873977.6153845601-1551176.354163353","884687.6153845601-1558496.354163353","12972.528666378039","12972.528666378039"
"887067.6153845601-1558496.354163353","893017.6153845601-1554836.354163353","6985.563685201073","6985.563685201073"
"864457.6153845601-1541416.354163353","865647.6153845601-1514576.354163353","26866.36745077384","26866.36745077384"
"-67312.38461543934-1809816.3541633526","-45892.384615439456-1815916.3541633526","22271.650140930175","22271.650140930175"
"219477.61538456043-1194936.3541633538","230187.61538456043-1203476.3541633538","13698.018104820858","13698.018104820858"
"865647.6153845601-1514576.354163353","870407.6153845601-1526776.354163353","13095.709220962413","13095.709220962413"
"937047.6153845601-1517016.354163353","939427.6153845601-1519456.354163353","3408.518739863403","3408.518739863403"
"452717.6153845603-1259596.3541633538","496747.6153845603-1181516.3541633538","89638.87159039878","89638.87159039878"
"533637.6153845603-1222996.3541633538","550297.6153845603-1210796.3541633538","20649.348658008563","20649.348658008563"
"411067.6153845603-1179076.3541633538","496747.6153845603-1181516.3541633538","85714.73618929244","85714.73618929244"
"411067.6153845603-1068056.354163354","432487.6153845603-1068056.354163354","21420.0","21420.0"
"908487.6153845601-2188016.354163352","908487.6153845601-2189236.354163352","1220.0","1220.0"
"909677.6153845601-2185576.354163352","909677.6153845601-2186796.354163352","1220.0","1220.0"
"937047.6153845601-1501156.3541633533","958467.6153845601-1498716.3541633533","21558.524995926786","21558.524995926786"
"73107.61538456054-2429576.3541633515","75487.61538456054-2429576.3541633515","2380.0","2380.0"
"953707.6153845601-1349876.3541633536","963227.6153845601-1357196.3541633536","12008.863393344101","12008.863393344101"
"530067.6153845603-1190056.3541633538","544347.6153845603-1194936.3541633538","15090.818400603726","15090.818400603726"
"-49462.384615439456-1795176.3541633526","-45892.384615439456-1814696.3541633526","19843.77232282209","19843.77232282209"
"948947.6153845601-1325476.3541633536","950137.6153845601-1340116.3541633536","14688.284447136772","14688.284447136772"
"515787.6153845603-1203476.3541633538","519357.6153845603-1222996.3541633538","19843.77232282209","19843.77232282209"
"950137.6153845601-1513356.3541633533","958467.6153845601-1504816.3541633533","11929.81558952191","11929.81558952191"
"76677.61538456054-2427136.3541633515","76677.61538456054-2429576.3541633515","2440.0","2440.0"
"914437.6153845601-2188016.354163352","914437.6153845601-2190456.354163352","2440.0","2440.0"
"496747.6153845603-1181516.3541633538","515787.6153845603-1203476.3541633538","29064.810338276766","29064.810338276766"
"909677.6153845601-2190456.354163352","912057.6153845601-2190456.354163352","2380.0","2380.0"
"205197.61538456043-1205916.3541633538","223047.61538456043-1207136.3541633538","17891.643300714444","17891.643300714444"
"835897.6153845601-1792736.3541633526","846607.6153845601-1792736.3541633526","10710.0","10710.0"
"908487.6153845601-2185576.354163352","908487.6153845601-2188016.354163352","2440.0","2440.0"
"882307.6153845601-1549956.354163353","884687.6153845601-1558496.354163353","8865.438511433036","8865.438511433036"
"202817.61538456043-1204696.3541633538","204007.61538456043-1198596.3541633538","6214.989943676498","6214.989943676498"
"909677.6153845601-2186796.354163352","912057.6153845601-2185576.354163352","2674.471910489994","2674.471910489994"
"411067.6153845603-1179076.3541633538","515787.6153845603-1203476.3541633538","107525.05940477317","107525.05940477317"
"452717.6153845603-1259596.3541633538","515787.6153845603-1203476.3541633538","84423.21540903307","84423.21540903307"
"873977.6153845601-1551176.354163353","882307.6153845601-1549956.354163353","8418.865719323476","8418.865719323476"
"452717.6153845603-1259596.3541633538","519357.6153845603-1222996.3541633538","76029.26804856141","76029.26804856141"
"-67312.38461543934-1800056.3541633526","-49462.384615439456-1793956.3541633526","18863.523000754547","18863.523000754547"
"832327.6153845601-1530436.354163353","865647.6153845601-1514576.354163353","36902.05956311924","36902.05956311924"
"411067.6153845603-1179076.3541633538","519357.6153845603-1222996.3541633538","116857.565009716","116857.565009716"
"372987.6153845603-1080256.354163354","397977.6153845603-1071716.354163354","26408.93220105652","26408.93220105652"
"832327.6153845601-1530436.354163353","870407.6153845601-1526776.354163353","38255.48326710826","38255.48326710826"
"889447.6153845601-1527996.354163353","939427.6153845601-1519456.354163353","50704.35878699187","50704.35878699187"
"893017.6153845601-1536536.354163353","939427.6153845601-1519456.354163353","49453.15460109698","49453.15460109698"
"832327.6153845601-1530436.354163353","864457.6153845601-1541416.354163353","33954.34140135838","33954.34140135838"
"-260092.38461543928-2031856.3541633522","-210112.38461543934-2058696.354163352","56730.82054756464","56730.82054756464"
"893017.6153845601-1536536.354163353","937047.6153845601-1517016.354163353","48162.96606314856","48162.96606314856"
"948947.6153845601-1323036.3541633536","1002497.6153845601-1307176.3541633536","55849.28021022294","55849.28021022294"
"889447.6153845601-1527996.354163353","937047.6153845601-1517016.354163353","48849.97850562475","48849.97850562475"
"908487.6153845601-2185576.354163352","908487.6153845601-2189236.354163352","3660.0","3660.0"
"852557.6153845601-1808596.3541633526","856127.6153845601-1798836.3541633526","10392.425126023281","10392.425126023281"
"71917.61538456054-2417376.3541633515","73107.61538456054-2419816.3541633515","2714.7191383272047","2714.7191383272047"
"-293412.3846154393-864316.3541633545","-250572.38461543928-876516.3541633545","44543.30028186057","44543.30028186057"
"909677.6153845601-2185576.354163352","912057.6153845601-2185576.354163352","2380.0","2380.0"
"496747.6153845603-1181516.3541633538","519357.6153845603-1222996.3541633538","47241.95698740686","47241.95698740686"
"71917.61538456054-2417376.3541633515","74297.61538456054-2419816.3541633515","3408.518739863403","3408.518739863403"
