"Id","Area","Perim","Capacity","BC_d110000_p0.5_beta0_Clunulatus","BC_d110000_p0.5_beta1_Clunulatus","CCe_Clunulatus","comp_Clunulatus","BC_d110000_p0.5_beta0_Cvroliki","BC_d110000_p0.5_beta0_Daruanus","BC_d110000_p0.5_beta0_Pcoelestis","BC_d110000_p0.5_beta0_Cauriga","BC_d110000_p0.5_beta0_Ajaponicus","BC_d110000_p0.5_beta0_Cstriatus","BC_d110000_p0.5_beta0_Lkasmira","BC_d110000_p0.5_beta0_Nplicata"
"1","1.16144E7","16900.0","1.16144E7","0.0","0.0","1311016.947320262","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","5.22648E8","103540.0","5.22648E8","0.0","0.0","1320258.292823922","1.0","0.15434995752114408","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","1.16144E7","14520.0","1.16144E7","0.025535682003542764","4.978874950700194E15","1306217.5926976495","1.0","0.0","0.0","0.0","0.0","0.0","9.383402593188158E-4","0.0","0.0"
"4","5807200.0","9640.0","5807200.0","0.035076980057108596","1.0330977976410794E16","1129334.0459878088","1.0","0.0","0.03781732054518781","0.013655931482877299","0.013371037781758598","0.0027052323205943767","0.004295702648898274","0.004295702648898275","0.0"
"5","5807200.0","9640.0","5807200.0","0.035076980057108596","1.0330977976410794E16","1127917.9544529663","1.0","0.0","0.03781732054518781","0.013655931482877299","0.013371037781758598","0.0049259931002433414","0.004295702648898274","0.004295702648898275","0.0"
"6","5807200.0","9640.0","5807200.0","0.0","0.0","1121257.9414812857","1.0","0.2223000962613377","0.0","0.0","0.03234218734764621","0.005832406284858721","6.461791020565908E-4","6.461791020565909E-4","0.0"
"7","1.88734E7","28980.0","1.88734E7","0.09131489072998582","4.8003669004890784E16","1104924.099134213","1.0","0.23739151554883203","0.20773335699391104","0.0030127799628960144","0.019886245907824854","6.027041436578226E-4","0.00256565626216819","0.0025656562621681903","0.0"
"8","3.04878E7","28860.0","3.04878E7","0.0783034376741173","1.4376301486040446E16","1148443.2861203675","1.0","0.3091015155529551","0.3841124769297112","0.07748875752700195","0.0","9.76470635087685E-4","9.76470635087685E-4","9.76470635087685E-4","0.0"
"9","7.360626E8","127700.0","7.360626E8","0.0","0.0","1256444.3153112275","1.0","0.0","0.0","0.0","0.009067848628181545","0.0018393874759462044","0.002625020877460639","0.0026255002739854023","0.0"
"10","8710800.0","14460.0","8710800.0","0.0","0.0","1187949.2132215595","1.0","0.028720436571772336","0.0","0.0","0.010301942969392745","0.002221941306951698","0.0016311198026929333","0.0016311198026929333","0.0"
"11","8.609173999999889E8","156559.99999999907","8.609173999999889E8","0.2173119104114723","1.6429641722567716E16","1151498.9998287852","1.0","0.1466889598498551","0.0","0.1647358685793241","0.006492917066789924","3.5832865827551373E-4","3.5832865827551373E-4","3.5832865827551373E-4","0.0"
"12","2.700348E8","77000.0","2.700348E8","0.0","0.0","1285864.317525655","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","4.06504E8","105740.0","4.06504E8","0.0","0.0","1298339.0094891882","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.585946E8","108360.0","3.585946E8","0.014764788875585641","3.930280475554524E15","1272788.652534289","1.0","0.04493627915291072","0.014764788875585641","0.0","0.0","7.585168900757696E-4","0.0","0.0","0.0"
"15","1.7508707999999986E9","194939.99999999988","1.7508707999999986E9","0.0","0.0","1172346.8130202699","1.0","0.08863997522368332","0.08853953123471653","0.0","0.00875276697066455","0.0","0.0","0.0","0.0"
"16","7.317072E8","120500.0","7.317072E8","0.33082345017706977","2.43942731113420032E17","1000036.3171400516","1.0","0.31836662530864945","0.4159856772517395","0.2970876345804048","0.14691963051397952","0.011278359232712571","0.020892049584667675","0.01813396918468325","0.0"
"17","4.2566776E9","436660.0","4.2566776E9","0.027546355063022977","8.259661949189782E15","1187784.30534995","1.0","0.0","0.1193512262559419","0.0","0.014847655458830017","0.002605604284714083","0.00616369820285286","0.0029524549522887506","0.0"
