"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Clunulatus","BC_d110000_p0.5_beta1_Clunulatus"
"3","11","560531.9252281707","560531.9252281707","0.0962717367052375","5.361046361793134E15"
"3","16","421134.3083862909","421134.3083862909","0.07909956489460053","9.183313073788189E14"
"3","31","582477.9539175696","582477.9539175696","0.07363538818862084","5.105833608846161E14"
"3","23","391236.7610539675","391236.7610539675","0.08498206273417512","1.4329493488636707E13"
"3","22","388316.6280240898","388316.6280240898","0.09226024634849592","4.793811790473268E13"
"3","21","388814.8150469569","388814.8150469569","0.08628896378967896","2.909972069360397E12"
"3","20","385304.56161327666","385304.56161327666","0.08821888020214338","5.950111488282672E12"
"3","10","213176.2238149457","213176.2238149457","0.260984191905193","2.6403957434457367E13"
"3","17","103311.43789532656","103311.43789532656","0.5215238406936803","2.578349007379026E16"
"3","9","181077.77362227507","181077.77362227507","0.31948905678886313","2.731288132233762E15"
"3","33","148630.45347438054","148630.45347438054","0.4175053870621427","7.140119076700528E15"
"1","11","562629.2727009497","562629.2727009497","0.0703988732853358","3.849160360606401E14"
"1","16","425986.5091760531","425986.5091760531","0.07613165105398721","8.829861897614192E14"
"1","3","1220.0","1220.0","0.992341841902014","1.3386124558088197E14"
"1","2","44301.09366595818","44301.09366595818","0.7564217672461795","4.591663885631933E15"
"1","31","588469.5007389919","588469.5007389919","0.07090712812857154","4.916657694235787E14"
"1","23","396904.7620021701","396904.7620021701","0.08200040758301703","1.382673318017578E13"
"1","22","393996.04934567463","393996.04934567463","0.08901682482652601","4.625284684283208E13"
"1","21","394446.6586244575","394446.6586244575","0.08328042753598372","2.808513480875661E12"
"1","20","390963.3897182693","390963.3897182693","0.08512857943523855","5.741679528442828E12"
"1","10","218312.2765673058","218312.2765673058","0.2526729168826208","2.556309979354023E13"
"1","17","108045.3353921395","108045.3353921395","0.5061965845241546","2.50257295910101E16"
"1","9","183914.79005234977","183914.79005234977","0.3138283005220264","2.682894748853196E15"
"1","33","149219.75505944245","149219.75505944245","0.39051686841639904","2.1532334695172645E15"
"5","38","619613.2936759819","619613.2936759819","0.02015318787514395","9.65085220339655E13"
"5","57","546484.270587909","546484.270587909","0.032893983947534886","7.883825800939245E14"
"5","36","599960.0333355538","599960.0333355538","0.022810120507674333","1.3057827571092739E14"
"5","7","29861.91052159925","29861.91052159925","0.8512676832041214","7.714753586429151E14"
"5","6","7697.194294026883","7697.194294026883","0.9526548405484362","3.2126923953958934E13"
"5","11","152031.29151592433","152031.29151592433","0.4669355104218137","1.2494377437571966E16"
"5","41","642350.6202223195","642350.6202223195","0.029197610904670768","1.5093515949837144E14"
"5","45","528132.1319518434","528132.1319518434","0.03586694804697064","2.346549502338507E14"
"5","30","466233.179857461","466233.179857461","0.05297724191541743","3.6714256475383356E14"
"5","28","414531.9505176888","414531.9505176888","0.08856172445524799","5.646468979657738E14"
"5","27","526083.9530911387","526083.9530911387","0.043821022607078625","1.662014388680031E14"
"5","29","312992.30022478144","312992.30022478144","0.13914060968214348","1.6118113520149062E15"
"5","25","408806.1228748903","408806.1228748903","0.07607576261110947","9.563074376341191E14"
"5","18","286027.5624830585","286027.5624830585","0.17197237990456568","6.791842578295261E14"
"5","19","316587.05595775694","316587.05595775694","0.13602425716730643","1.4541499473148805E15"
"5","13","611775.4114051983","611775.4114051983","0.02117352601670903","4.998328480114173E13"
"5","15","377962.7177381387","377962.7177381387","0.0923960696226516","9.394515357334188E14"
"5","14","550774.3110385594","550774.3110385594","0.031097896511369304","6.475921008182247E13"
"5","12","549680.5985297278","549680.5985297278","0.03131295885551068","4.91032940131352E13"
"5","8","201748.78463078768","201748.78463078768","0.29454699086550795","7.902423469958239E13"
"5","16","413477.64207995555","413477.64207995555","0.10379141043300212","3.5649098739650325E14"
"4","38","621495.6218671203","621495.6218671203","0.0199155592266267","9.537057850843456E13"
"4","57","548382.5603536266","548382.5603536266","0.03213232170407819","7.780617539466096E14"
"4","36","601656.6423633989","601656.6423633989","0.022567558545866732","1.2918971124826969E14"
"4","7","30788.77717610753","30788.77717610753","0.846680922792044","7.679293526689985E14"
"4","6","9760.0","9760.0","0.9403519499723098","3.1712026539775273E13"
"4","5","1190.0","1190.0","1.0276064321323632","1.036444961469117E16"
"4","11","154942.5135332455","154942.5135332455","0.4240084840847043","2.1240745788255115E15"
"4","41","643971.323895714","643971.323895714","0.02890094478023333","1.4940156317242806E14"
"4","45","527638.2413169077","527638.2413169077","0.03597874602927826","2.3538637432770678E14"
"4","30","465938.8720637071","465938.8720637071","0.0530755811112094","3.678240744597661E14"
"4","28","414410.9353045593","414410.9353045593","0.08862928364123678","5.65077638051655E14"
"4","27","524294.2990344254","524294.2990344254","0.044317998692139024","1.680863364697921E14"
"4","29","312661.49315193854","312661.49315193854","0.13943095457570737","1.6151747208869768E15"
"4","25","406918.91723044764","406918.91723044764","0.07698585016281304","9.67747658076487E14"
"4","18","284921.97949614195","284921.97949614195","0.1731746346276592","6.839324184485711E14"
"4","19","314978.06606174965","314978.06606174965","0.1374103934320058","1.4689682600060105E15"
"4","13","608629.6138868035","608629.6138868035","0.03047778587788269","3.2009317751568935E15"
"4","15","374925.17133422755","374925.17133422755","0.09418162018996387","9.576064012968774E14"
"4","14","547554.9375176885","547554.9375176885","0.044783970127217014","4.1491058781008095E15"
"4","12","546354.3909405321","546354.3909405321","0.04512404782073925","3.1481539921944655E15"
"4","8","198860.67585120985","198860.67585120985","0.29995651120299216","8.04755589976354E13"
"4","16","417644.3257126808","417644.3257126808","0.1011017599867727","3.472528805114765E14"
"6","38","609252.6117301416","609252.6117301416","0.02151281151290907","1.0301941592410734E14"
"6","57","536136.9560103081","536136.9560103081","0.03511020078522685","8.414994889893018E14"
"6","36","589456.135772628","589456.135772628","0.024370976298015788","1.3951351380700111E14"
"6","7","19003.03396829043","19003.03396829043","0.9115551363591092","8.261118560245034E14"
"6","11","159218.81798330235","159218.81798330235","0.41273553011069597","2.0676026074776985E15"
"6","41","631795.9823392347","631795.9823392347","0.03120552705784912","1.613149520721142E14"
"6","45","517658.1497474944","517658.1497474944","0.03831403607994904","2.5066471275516725E14"
"6","30","455638.62917886977","455638.62917886977","0.056634722472039475","3.924896146104383E14"
"6","28","403851.1790251449","403851.1790251449","0.09472736387333726","6.039574375110919E14"
"6","27","517012.406911091","517012.406911091","0.04639893698398741","1.759787798160334E14"
"6","29","302427.5926564898","302427.5926564898","0.14871872877284073","1.722764733034321E15"
"6","25","399904.58124407614","399904.58124407614","0.0804649223922382","1.0114812012559771E15"
"6","18","276109.98261562356","276109.98261562356","0.18306255131568935","7.229835577127179E14"
"6","19","307269.6717868523","307269.6717868523","0.14424961239381484","1.5420820567662248E15"
"6","13","605638.7784810344","605638.7784810344","0.022008321388709274","5.19539445200962E13"
"6","15","371561.4490229037","371561.4490229037","0.0961991959018068","9.78120418924361E14"
"6","14","544875.3091304466","544875.3091304466","0.03227560835044223","6.7211713207700766E13"
"6","12","544131.4521326623","544131.4521326623","0.03242724874170619","5.085066334192324E13"
