"ID1","ID2","Dist","DistM"
"83","93","75454.09200301852","75454.09200301852"
"77","90","70069.22362920828","70069.22362920828"
"77","91","86585.8025313617","86585.8025313617"
"55","64","45226.611635186644","45226.611635186644"
"55","62","69035.8175152579","69035.8175152579"
"72","79","21959.999999999767","21959.999999999767"
"72","77","23765.405529887274","23765.405529887274"
"38","41","1220.0","1220.0"
"38","42","74340.77481436406","74340.77481436406"
"49","54","51193.36773450226","51193.36773450226"
"72","73","19596.295568295554","19596.295568295554"
"49","53","18300.0","18300.0"
"49","52","62748.45416422623","62748.45416422623"
"49","51","68341.31985848663","68341.31985848663"
"66","71","21203.63412248004","21203.63412248004"
"61","69","7320.0","7320.0"
"66","72","16939.365395433208","16939.365395433208"
"66","73","14280.0","14280.0"
"66","79","57941.90625100259","57941.90625100259"
"83","97","84858.56762873128","84858.56762873128"
"49","55","67943.100459134","67943.100459134"
"66","77","50304.07637557815","50304.07637557815"
"9","17","24079.775746464085","24079.775746464085"
"83","85","28883.081553047625","28883.081553047625"
"88","99","99966.44437009851","99966.44437009851"
"88","95","47241.95698740686","47241.95698740686"
"77","82","36902.05956311924","36902.05956311924"
"88","94","50601.98118651087","50601.98118651087"
"9","10","88771.75451685069","88771.75451685069"
"77","84","50261.65934387762","50261.65934387762"
"94","99","8540.0","8540.0"
"88","91","29965.928986100196","29965.928986100196"
"77","86","43920.0","43920.0"
"72","88","94543.072194635","94543.072194635"
"77","87","79428.04101827012","79428.04101827012"
"77","89","63047.620890878985","63047.620890878985"
"72","84","48799.99999999977","48799.99999999977"
"106","110","32924.260052429425","32924.260052429425"
"94","96","99269.08330391679","99269.08330391679"
"94","95","74336.6208540582","74336.6208540582"
"22","23","1190.0","1190.0"
"66","84","84482.25849253772","84482.25849253772"
"66","88","99775.30957105548","99775.30957105548"
"84","86","71296.21658966203","71296.21658966203"
"89","96","57367.799330286325","57367.799330286325"
"15","25","92750.54069923259","92750.54069923259"
"56","58","54899.99999999977","54899.99999999977"
"89","90","91244.16090906858","91244.16090906858"
"48","64","80660.57277257559","80660.57277257559"
"48","62","13634.074959453612","13634.074959453612"
"56","59","81929.66983944198","81929.66983944198"
"21","23","3408.518739863403","3408.518739863403"
"21","22","5950.0","5950.0"
"67","68","8023.415731469983","8023.415731469983"
"84","88","28972.409288838924","28972.409288838924"
"10","17","21960.0","21960.0"
"6","7","19003.03396829043","19003.03396829043"
"37","44","27768.480332924235","27768.480332924235"
"37","40","4324.176222126013","4324.176222126013"
"73","79","48557.65336175116","48557.65336175116"
"9","33","40259.999999999534","40259.999999999534"
"56","64","88060.0","88060.0"
"51","53","12325.343808592","12325.343808592"
"73","77","2440.0","2440.0"
"48","52","47920.642733586115","47920.642733586115"
"51","55","6100.0","6100.0"
"48","53","17169.755385560973","17169.755385560973"
"51","54","72958.1421090203","72958.1421090203"
"48","51","76209.08147983403","76209.08147983403"
"51","56","36347.397430902805","36347.397430902805"
"67","70","2674.471910489994","2674.471910489994"
"103","108","47579.99999999977","47579.99999999977"
"48","54","43919.99999999977","43919.99999999977"
"48","55","73260.54326852877","73260.54326852877"
"62","64","49964.34728884166","49964.34728884166"
"51","62","80065.31895895998","80065.31895895998"
"73","89","14280.0","14280.0"
"51","64","65870.77728401267","65870.77728401267"
"73","87","85830.18117189314","85830.18117189314"
"73","86","80094.374958545","80094.374958545"
"73","84","70870.29067246708","70870.29067246708"
"73","81","85096.23082134708","85096.23082134708"
"67","83","91599.67248849725","91599.67248849725"
"73","82","41752.2214977838","41752.2214977838"
"67","80","55719.30006739114","55719.30006739114"
"48","49","2380.0","2380.0"
"5","6","7697.194294026883","7697.194294026883"
"5","7","29861.91052159925","29861.91052159925"
"97","100","72947.20351048402","72947.20351048402"
"97","101","47565.93844338592","47565.93844338592"
"84","91","52389.31188706318","52389.31188706318"
"97","102","64271.580033479804","64271.580033479804"
"97","103","19952.844408755358","19952.844408755358"
"90","94","28897.918610169832","28897.918610169832"
"90","96","54052.43750285458","54052.43750285458"
"97","108","29330.91884002252","29330.91884002252"
"36","57","34967.196055732005","34967.196055732005"
"100","103","50404.11491138372","50404.11491138372"
"100","108","18721.303373429855","18721.303373429855"
"90","99","52460.0","52460.0"
"73","96","95281.61627512414","95281.61627512414"
"90","92","62250.62248684747","62250.62248684747"
"73","90","97600.0","97600.0"
"90","91","53762.529702386586","53762.529702386586"
"15","19","73025.5023947114","73025.5023947114"
"36","41","9760.0","9760.0"
"85","96","91629.99999999988","91629.99999999988"
"19","29","74218.19184000605","74218.19184000605"
"79","91","77740.80267144124","77740.80267144124"
"85","97","93996.23875453719","93996.23875453719"
"85","92","96373.2831234879","96373.2831234879"
"19","25","28962.55686226615","28962.55686226615"
"80","81","66918.60428909126","66918.60428909126"
"91","94","22820.560904587775","22820.560904587775"
"91","95","90010.40884253332","90010.40884253332"
"52","53","60690.0","60690.0"
"52","54","46233.02823739743","46233.02823739743"
"36","42","67867.40970451134","67867.40970451134"
"91","99","63945.68007301197","63945.68007301197"
"104","110","1704.2593699317015","1704.2593699317015"
"25","27","33222.76930058661","33222.76930058661"
"68","70","15897.05947651955","15897.05947651955"
"80","85","25867.533705399903","25867.533705399903"
"80","83","25563.890548975523","25563.890548975523"
"4","5","1190.0","1190.0"
"4","6","9760.0","9760.0"
"4","7","30788.77717610753","30788.77717610753"
"63","78","65298.96247261514","65298.96247261514"
"79","84","1704.2593699317015","1704.2593699317015"
"20","23","3660.0","3660.0"
"36","38","1220.0","1220.0"
"79","86","79004.3119076421","79004.3119076421"
"93","102","50245.974963174915","50245.974963174915"
"79","88","58296.583947946725","58296.583947946725"
"52","64","83483.67265519632","83483.67265519632"
"52","62","3570.0","3570.0"
"74","88","46400.11314641377","46400.11314641377"
"68","80","25619.999999999767","25619.999999999767"
"115","116","88129.70668282016","88129.70668282016"
"104","106","14441.54077652376","14441.54077652376"
"68","83","67973.85747476725","67973.85747476725"
"68","81","68499.10729345288","68499.10729345288"
"20","22","1704.2593699317015","1704.2593699317015"
"20","21","2380.0","2380.0"
"68","85","76859.99999999977","76859.99999999977"
"68","89","68988.291760269","68988.291760269"
"86","87","44030.0","44030.0"
"41","57","56083.0420002339","56083.0420002339"
"86","88","90544.91040362229","90544.91040362229"
"58","59","4760.0","4760.0"
"30","45","9654.185620755383","9654.185620755383"
"108","111","83745.19269784982","83745.19269784982"
"86","89","91277.29400020577","91277.29400020577"
"35","40","11306.652908796661","11306.652908796661"
"58","61","29330.918840022725","29330.918840022725"
"58","60","22332.015135226826","22332.015135226826"
"92","100","75562.45430106123","75562.45430106123"
"58","69","32576.629659926453","32576.629659926453"
"35","44","64157.326159995166","64157.326159995166"
"53","54","24906.852470755734","24906.852470755734"
"53","55","15859.999999999767","15859.999999999767"
"75","76","5950.0","5950.0"
"53","56","70709.326824684","70709.326824684"
"41","42","34085.18739863403","34085.18739863403"
"105","111","73937.51754015007","73937.51754015007"
"81","92","76236.73655135013","76236.73655135013"
"18","19","9520.0","9520.0"
"81","90","92206.52525716387","92206.52525716387"
"35","37","15661.241968630713","15661.241968630713"
"53","62","19079.046097748178","19079.046097748178"
"53","64","50527.022473127945","50527.022473127945"
"2","3","47165.90399854539","47165.90399854539"
"46","47","6817.037479726806","6817.037479726806"
"101","102","42640.173545612866","42640.173545612866"
"92","103","68457.67159347436","68457.67159347436"
"105","106","86715.57241926042","86715.57241926042"
"112","113","53945.29914645019","53945.29914645019"
"81","96","20106.687942075394","20106.687942075394"
"101","108","55493.51313441953","55493.51313441953"
"18","29","45056.8585234253","45056.8585234253"
"86","99","73979.34914555524","73979.34914555524"
"81","82","64445.030840244","64445.030840244"
"86","96","83300.0","83300.0"
"13","14","30637.31221892672","30637.31221892672"
"86","94","45139.99999999977","45139.99999999977"
