"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Daruanus"
"1","16","425986.5091760531","425986.5091760531","0.1016818885533817"
"1","3","1220.0","1220.0","0.992341841902014"
"1","2","44301.09366595818","44301.09366595818","0.7564217672461795"
"1","23","396904.7620021701","396904.7620021701","0.08200040758301703"
"1","22","393996.04934567463","393996.04934567463","0.15433631263666042"
"1","21","394446.6586244575","394446.6586244575","0.08328042753598372"
"1","20","390963.3897182693","390963.3897182693","0.08512857943523855"
"1","10","218312.2765673058","218312.2765673058","0.2526729168826208"
"1","17","108045.3353921395","108045.3353921395","0.5061965845241546"
"1","9","183914.79005234977","183914.79005234977","0.3138283005220264"
"1","33","149219.75505944245","149219.75505944245","0.39051686841639904"
"2","16","414360.8330911593","414360.8330911593","0.10962260763615807"
"2","3","47165.90399854539","47165.90399854539","0.7428892498793642"
"2","23","439555.11520172213","439555.11520172213","0.06267545641262391"
"2","22","436551.18657495274","436551.18657495274","0.11803483184548355"
"2","21","437403.36132681835","437403.36132681835","0.06353105584057213"
"2","20","433700.40961474687","433700.40961474687","0.06503089112340633"
"2","10","264379.686246882","264379.686246882","0.189011812718154"
"2","17","155496.78999902177","155496.78999902177","0.37537196705291503"
"2","9","232070.58172030307","232070.58172030307","0.23168996090817034"
"2","33","193594.28607270413","193594.28607270413","0.295258796073285"
"3","16","421134.3083862909","421134.3083862909","0.10483886553222535"
"3","23","391236.7610539675","391236.7610539675","0.08498206273417512"
"3","22","388316.6280240898","388316.6280240898","0.15995971831308986"
"3","21","388814.8150469569","388814.8150469569","0.08628896378967896"
"3","20","385304.56161327666","385304.56161327666","0.08821888020214338"
"3","10","213176.2238149457","213176.2238149457","0.260984191905193"
"3","17","103311.43789532656","103311.43789532656","0.5215238406936803"
"3","9","181077.77362227507","181077.77362227507","0.31948905678886313"
"3","33","148630.45347438054","148630.45347438054","0.3919697050585999"
"4","7","30788.77717610753","30788.77717610753","0.8236492627010376"
"4","6","9760.0","9760.0","0.9403519499723098"
"4","5","1190.0","1190.0","1.0303467726204425"
"4","11","154942.5135332455","154942.5135332455","0.3766853146943388"
"4","30","465938.8720637071","465938.8720637071","0.055814706955221484"
"4","28","414410.9353045593","414410.9353045593","0.08588692073794257"
"4","29","312661.49315193854","312661.49315193854","0.24207639321641497"
"4","25","406918.91723044764","406918.91723044764","0.12678176261188956"
"4","18","284921.97949614195","284921.97949614195","0.1731746346276592"
"4","19","314978.06606174965","314978.06606174965","0.1374103934320058"
"4","15","374925.17133422755","374925.17133422755","0.140153239931992"
"4","8","198860.67585120985","198860.67585120985","0.36876624228024596"
"4","16","417644.3257126808","417644.3257126808","0.12547232434352068"
"5","7","29861.91052159925","29861.91052159925","0.8284738616028281"
"5","6","7697.194294026883","7697.194294026883","0.9526548405484362"
"5","11","152031.29151592433","152031.29151592433","0.42147654558410474"
"5","30","466233.179857461","466233.179857461","0.0557112926678896"
"5","28","414531.9505176888","414531.9505176888","0.08582145196493943"
"5","29","312992.30022478144","312992.30022478144","0.24157230397140744"
"5","25","408806.1228748903","408806.1228748903","0.12528301311841636"
"5","18","286027.5624830585","286027.5624830585","0.17197237990456568"
"5","19","316587.05595775694","316587.05595775694","0.13602425716730643"
"5","15","377962.7177381387","377962.7177381387","0.10039577481773673"
"5","8","201748.78463078768","201748.78463078768","0.36211578325406185"
"5","16","413477.64207995555","413477.64207995555","0.12881031463374049"
"6","7","19003.03396829043","19003.03396829043","0.8871470382157551"
"6","11","159218.81798330235","159218.81798330235","0.3666705240129669"
"6","30","455638.62917886977","455638.62917886977","0.059557528567493655"
"6","28","403851.1790251449","403851.1790251449","0.09179631447363044"
"6","29","302427.5926564898","302427.5926564898","0.25820252518460884"
"6","25","399904.58124407614","399904.58124407614","0.13251116494449716"
"6","18","276109.98261562356","276109.98261562356","0.18306255131568935"
"6","19","307269.6717868523","307269.6717868523","0.14424961239381484"
"6","15","371561.4490229037","371561.4490229037","0.10452817797173278"
"6","8","195054.57723416787","195054.57723416787","0.3777174643807606"
"6","16","414953.9020180432","414953.9020180432","0.12750334523634882"
"7","11","174573.89524210073","174573.89524210073","0.3642132788506507"
"7","30","432097.7696077586","432097.7696077586","0.07709723176917699"
"7","28","379866.6014537204","379866.6014537204","0.11949113991917973"
"7","29","279141.9153405661","279141.9153405661","0.33227043602183287"
"7","25","381313.67310916074","381313.67310916074","0.19774308863447493"
"7","18","255025.5251930676","255025.5251930676","0.23276998973144902"
"7","19","287574.53016565973","287574.53016565973","0.18261202890380418"
"7","15","358219.6902739991","358219.6902739991","0.12700758942444937"
"7","8","181684.61905180625","181684.61905180625","0.45958462764393654"
"7","16","414770.43771223596","414770.43771223596","0.30402564469617793"
"8","11","356665.0026285167","356665.0026285167","0.136426301334791"
"8","45","373417.66696287884","373417.66696287884","0.11299699504224484"
"8","30","323323.01742993755","323323.01742993755","0.14949024584995427"
"8","28","283015.95856064325","283015.95856064325","0.1680692443536656"
"8","27","329193.39802006923","329193.39802006923","0.12563695129984082"
"8","29","190334.88067088445","190334.88067088445","0.3574320167124269"
"8","25","211321.01551904387","211321.01551904387","0.3116410727267744"
"8","18","129878.506304931","129878.506304931","0.5443189446855546"
"8","19","134661.4391724669","134661.4391724669","0.4280363125992564"
"8","13","401985.84054665384","401985.84054665384","0.1775864627609201"
"8","15","167602.05845991266","167602.05845991266","0.39874401713827246"
"8","14","342019.92763580295","342019.92763580295","0.2591685891603308"
"8","12","342719.9999999998","342719.9999999998","0.25802781282143883"
"9","31","460742.3819229127","460742.3819229127","0.09084474505336222"
"9","23","256172.852777182","256172.852777182","0.19904353027521407"
"9","22","254382.58293365873","254382.58293365873","0.2199709583618935"
"9","21","251517.42146419952","251517.42146419952","0.26661096376036186"
"9","20","249964.75431548298","249964.75431548298","0.20698428503556643"
"9","10","88771.75451685069","88771.75451685069","0.5715628485854237"
"9","17","24079.775746464085","24079.775746464085","0.9245835268378666"
"9","33","40259.999999999534","40259.999999999534","0.7759308542748583"
"10","16","414183.3962147684","414183.3962147684","0.10812693203762286"
"10","31","383754.0175685452","383754.0175685452","0.2772165043413305"
"10","23","181783.89505123888","181783.89505123888","0.31807064505939553"
"10","22","179339.99999999953","179339.99999999953","0.3230067824014898"
"10","21","178219.35052064306","178219.35052064306","0.3252957967687892"
"10","20","175684.03029302304","175684.03029302304","0.3305344275711422"
"10","17","21960.0","21960.0","0.8707700162859057"
"10","33","149386.7507511957","149386.7507511957","0.3901061451002294"
"11","29","445130.9597185974","445130.9597185974","0.1677812811443635"
"11","18","429940.32423116564","429940.32423116564","0.08342902407241447"
"11","19","464858.51062446926","464858.51062446926","0.05343813763595002"
"11","16","278847.729235868","278847.729235868","0.3020789463666671"
"12","34","445812.9420508103","445812.9420508103","0.060252089006466794"
"12","32","350592.1191356125","350592.1191356125","0.10978850512502573"
"12","45","373495.21871102916","373495.21871102916","0.09503408935960325"
"12","30","382112.2935734985","382112.2935734985","0.10267454873011747"
"12","28","386086.84010206774","386086.84010206774","0.12117480505822241"
"12","26","303759.0861192463","303759.0861192463","0.14747617026865315"
"12","27","216514.57895485885","216514.57895485885","0.31908262683589117"
"12","29","362085.7369463753","362085.7369463753","0.10211816913629104"
"12","24","229152.0037006","229152.0037006","0.23599038180249546"
"12","25","201040.3195878873","201040.3195878873","0.28172524080991285"
"12","18","320909.3088397404","320909.3088397404","0.1323695000761609"
"12","19","232634.26488804255","232634.26488804255","0.23086846767763286"
"12","13","50277.00965650201","50277.00965650201","0.7284673796776506"
"12","15","126865.06256649221","126865.06256649221","0.44958981223978384"
"12","14","1220.0","1220.0","1.0071066307775998"
"13","34","408715.5917016125","408715.5917016125","0.11558281789462016"
"13","32","301461.67650300026","301461.67650300026","0.1496266751925296"
"13","45","372490.64041932585","372490.64041932585","0.09563758104415107"
"13","30","391885.718673186","391885.718673186","0.08463525505756798"
"13","28","404927.6029119275","404927.6029119275","0.09689241912050883"
"13","26","236775.61107512697","236775.61107512697","0.22492165065163672"
"13","27","214517.97244053893","214517.97244053893","0.3258015592437696"
"13","29","392088.77119856374","392088.77119856374","0.08452703327886485"
"13","24","158617.57185129228","158617.57185129228","0.3680623470684584"
"13","25","224528.09623741935","224528.09623741935","0.2429675397035043"
"13","18","363625.48865556694","363625.48865556694","0.1011321591266195"
"13","19","274023.4648711674","274023.4648711674","0.17786784051398424"
"13","15","180917.02518005308","180917.02518005308","0.3198128408825237"
"13","14","30637.31221892672","30637.31221892672","0.824435755091465"
"14","34","419516.1905099721","419516.1905099721","0.07111099484122588"
"14","32","323282.16034912836","323282.16034912836","0.1304050160777251"
"14","45","356241.5360398048","356241.5360398048","0.10594890493066045"
"14","30","368301.8263598479","368301.8263598479","0.09819555830196919"
"14","28","374898.5095995977","374898.5095995977","0.12999432507604433"
"14","26","278467.4252044568","278467.4252044568","0.172956118037781"
"14","27","198139.27551093907","198139.27551093907","0.38862915004757154"
"14","29","352336.45695556357","352336.45695556357","0.10858835486965451"
"14","24","205513.52680541447","205513.52680541447","0.2738950714039244"
"14","25","189966.61812013146","189966.61812013146","0.31685068721618326"
"14","18","313768.8399124424","313768.8399124424","0.13846142448087984"
"14","19","224921.56232784787","224921.56232784787","0.24236588118991811"
"14","15","123175.66683399765","123175.66683399765","0.46016437759932854"
