"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Pcoelestis"
"3","11","560531.9252281707","560531.9252281707","0.07000322812695907"
"3","16","421134.3083862909","421134.3083862909","0.0805167294423886"
"3","31","582477.9539175696","582477.9539175696","0.07242751470107714"
"3","23","391236.7610539675","391236.7610539675","0.08498206273417512"
"3","22","388316.6280240898","388316.6280240898","0.09349939890867527"
"3","21","388814.8150469569","388814.8150469569","0.08628896378967896"
"3","20","385304.56161327666","385304.56161327666","0.08821888020214338"
"3","10","213176.2238149457","213176.2238149457","0.260984191905193"
"3","17","103311.43789532656","103311.43789532656","0.5215238406936803"
"3","9","181077.77362227507","181077.77362227507","0.31948905678886313"
"3","33","148630.45347438054","148630.45347438054","0.3919697050585999"
"1","11","562629.2727009497","562629.2727009497","0.0690841455092736"
"1","16","425986.5091760531","425986.5091760531","0.07809215664707088"
"1","3","1220.0","1220.0","0.992341841902014"
"1","2","44301.09366595818","44301.09366595818","0.7564217672461795"
"1","31","588469.5007389919","588469.5007389919","0.0697073562811175"
"1","23","396904.7620021701","396904.7620021701","0.08200040758301703"
"1","22","393996.04934567463","393996.04934567463","0.09024911329607213"
"1","21","394446.6586244575","394446.6586244575","0.08328042753598372"
"1","20","390963.3897182693","390963.3897182693","0.08512857943523855"
"1","10","218312.2765673058","218312.2765673058","0.2526729168826208"
"1","17","108045.3353921395","108045.3353921395","0.5061965845241546"
"1","9","183914.79005234977","183914.79005234977","0.3138283005220264"
"1","33","149219.75505944245","149219.75505944245","0.39051686841639904"
"4","50","671559.0455797602","671559.0455797602","0.023739683843677688"
"4","38","621495.6218671203","621495.6218671203","0.0199155592266267"
"4","57","548382.5603536266","548382.5603536266","0.03243827457024935"
"4","36","601656.6423633989","601656.6423633989","0.022567558545866732"
"4","7","30788.77717610753","30788.77717610753","0.8236492627010376"
"4","6","9760.0","9760.0","0.9403519499723098"
"4","5","1190.0","1190.0","1.006185383558132"
"4","11","154942.5135332455","154942.5135332455","0.4129667957231205"
"4","42","701544.9342700711","701544.9342700711","0.012405967998135297"
"4","41","643971.323895714","643971.323895714","0.01728560892940385"
"4","45","527638.2413169077","527638.2413169077","0.03597874602927826"
"4","30","465938.8720637071","465938.8720637071","0.0530755811112094"
"4","28","414410.9353045593","414410.9353045593","0.08862928364123678"
"4","27","524294.2990344254","524294.2990344254","0.044317998692139024"
"4","29","312661.49315193854","312661.49315193854","0.13943095457570737"
"4","25","406918.91723044764","406918.91723044764","0.07698585016281304"
"4","18","284921.97949614195","284921.97949614195","0.1731746346276592"
"4","19","314978.06606174965","314978.06606174965","0.1374103934320058"
"4","13","608629.6138868035","608629.6138868035","0.030485624286777094"
"4","15","374925.17133422755","374925.17133422755","0.09523600244721318"
"4","14","547554.9375176885","547554.9375176885","0.03209048410342692"
"4","12","546354.3909405321","546354.3909405321","0.03197619088742567"
"4","8","198860.67585120985","198860.67585120985","0.3033145849197208"
"4","16","417644.3257126808","417644.3257126808","0.10110175998677272"
"6","50","660056.6672642573","660056.6672642573","0.02552423633451406"
"6","38","609252.6117301416","609252.6117301416","0.02151281151290907"
"6","57","536136.9560103081","536136.9560103081","0.03504043679273137"
"6","36","589456.135772628","589456.135772628","0.024370976298015788"
"6","7","19003.03396829043","19003.03396829043","0.8871470382157551"
"6","11","159218.81798330235","159218.81798330235","0.40198740296160573"
"6","42","689475.5915186544","689475.5915186544","0.01338628472991092"
"6","41","631795.9823392347","631795.9823392347","0.018663975910117477"
"6","45","517658.1497474944","517658.1497474944","0.03831403607994904"
"6","30","455638.62917886977","455638.62917886977","0.056634722472039475"
"6","28","403851.1790251449","403851.1790251449","0.09472736387333726"
"6","27","517012.406911091","517012.406911091","0.04639893698398741"
"6","29","302427.5926564898","302427.5926564898","0.14871872877284073"
"6","25","399904.58124407614","399904.58124407614","0.0804649223922382"
"6","18","276109.98261562356","276109.98261562356","0.18306255131568935"
"6","19","307269.6717868523","307269.6717868523","0.14424961239381484"
"6","13","605638.7784810344","605638.7784810344","0.022008321388709274"
"6","15","371561.4490229037","371561.4490229037","0.0961991959018068"
"6","14","544875.3091304466","544875.3091304466","0.03227560835044223"
"6","12","544131.4521326623","544131.4521326623","0.03242724874170619"
"6","8","195054.57723416787","195054.57723416787","0.30723748501358583"
"6","16","414953.9020180432","414953.9020180432","0.10299703428923491"
"5","50","668310.5272251803","668310.5272251803","0.024453183029319904"
"5","38","619613.2936759819","619613.2936759819","0.02015318787514395"
"5","57","546484.270587909","546484.270587909","0.03260621693131956"
"5","36","599960.0333355538","599960.0333355538","0.022810120507674333"
"5","7","29861.91052159925","29861.91052159925","0.8284738616028281"
"5","6","7697.194294026883","7697.194294026883","0.9526548405484362"
"5","11","152031.29151592433","152031.29151592433","0.42925882331707127"
"5","42","700162.9536757842","700162.9536757842","0.012514474993716298"
"5","41","642350.6202223195","642350.6202223195","0.017463044464768585"
"5","45","528132.1319518434","528132.1319518434","0.03586694804697064"
"5","30","466233.179857461","466233.179857461","0.05297724191541743"
"5","28","414531.9505176888","414531.9505176888","0.08856172445524799"
"5","27","526083.9530911387","526083.9530911387","0.043821022607078625"
"5","29","312992.30022478144","312992.30022478144","0.13914060968214348"
"5","25","408806.1228748903","408806.1228748903","0.07607576261110947"
"5","18","286027.5624830585","286027.5624830585","0.17197237990456568"
"5","19","316587.05595775694","316587.05595775694","0.13602425716730643"
"5","13","611775.4114051983","611775.4114051983","0.02117352601670903"
"5","15","377962.7177381387","377962.7177381387","0.0923960696226516"
"5","14","550774.3110385594","550774.3110385594","0.031097896511369304"
"5","12","549680.5985297278","549680.5985297278","0.03131295885551068"
"5","8","201748.78463078768","201748.78463078768","0.29454699086550795"
"5","16","413477.64207995555","413477.64207995555","0.1037914104330021"
"2","7","728435.7037515385","728435.7037515385","0.013164424286250627"
"2","6","714171.9493931411","714171.9493931411","0.011106343505920458"
"2","5","706957.3201403315","706957.3201403315","0.016632436722651574"
"2","4","709764.0467084813","709764.0467084813","0.011419153953043007"
"2","11","515415.00143088534","515415.00143088534","0.0453523612998114"
"2","16","414360.8330911593","414360.8330911593","0.0804588254763573"
"2","3","47165.90399854539","47165.90399854539","0.7428892498793642"
"2","31","626497.0187478934","626497.0187478934","0.057357506707874935"
"2","23","439555.11520172213","439555.11520172213","0.06267545641262391"
"2","22","436551.18657495274","436551.18657495274","0.06645218201785914"
"2","21","437403.36132681835","437403.36132681835","0.06353105584057213"
"2","20","433700.40961474687","433700.40961474687","0.06503089112340633"
"2","10","264379.686246882","264379.686246882","0.189011812718154"
"2","17","155496.78999902177","155496.78999902177","0.37537196705291503"
"2","9","232070.58172030307","232070.58172030307","0.23168996090817034"
"2","33","193594.28607270413","193594.28607270413","0.295258796073285"
"10","11","651506.6612092309","651506.6612092309","0.031093014485048115"
"10","40","576729.307734572","576729.307734572","0.028848970573166578"
"10","35","537587.0389992667","537587.0389992667","0.03941027418137294"
"10","44","626324.0784130837","626324.0784130837","0.019503848390934414"
"10","37","552788.4850464948","552788.4850464948","0.03461992290620928"
"10","16","414183.3962147684","414183.3962147684","0.09391421444894037"
"10","31","383754.0175685452","383754.0175685452","0.09433794306506225"
"10","23","181783.89505123888","181783.89505123888","0.31807064505939553"
"10","22","179339.99999999953","179339.99999999953","0.3657199146817679"
"10","21","178219.35052064306","178219.35052064306","0.3471066125137066"
"10","20","175684.03029302304","175684.03029302304","0.3305344275711422"
"10","17","21960.0","21960.0","0.8707700162859057"
"10","33","149386.7507511957","149386.7507511957","0.3901061451002294"
"7","50","637260.549539981","637260.549539981","0.029889490333555004"
"7","38","583041.2794991437","583041.2794991437","0.025376285747681374"
"7","57","509936.5161468622","509936.5161468622","0.041330493089450804"
"7","36","563169.4236195702","563169.4236195702","0.028761405068758798"
"7","11","174573.89524210073","174573.89524210073","0.36047706851073513"
"7","42","663202.9387751523","663202.9387751523","0.015796422974822616"
"7","41","605496.7220390203","605496.7220390203","0.022028030862125424"
"7","45","494675.9631314214","494675.9631314214","0.04428450458806422"
"7","30","432097.7696077586","432097.7696077586","0.06569095083899269"
"7","28","379866.6014537204","379866.6014537204","0.11018247355238196"
"7","27","497907.0870152378","497907.0870152378","0.05285010166303184"
