"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Cvroliki"
"1","16","425986.5091760531","425986.5091760531","0.07196337819434605"
"1","3","1220.0","1220.0","0.992341841902014"
"1","2","44301.09366595818","44301.09366595818","0.8183632084532498"
"1","23","396904.7620021701","396904.7620021701","0.08200040758301703"
"1","22","393996.04934567463","393996.04934567463","0.15408752539215662"
"1","21","394446.6586244575","394446.6586244575","0.08328042753598372"
"1","20","390963.3897182693","390963.3897182693","0.08512857943523855"
"1","10","218312.2765673058","218312.2765673058","0.2526729168826208"
"1","17","108045.3353921395","108045.3353921395","0.5061965845241546"
"1","9","183914.79005234977","183914.79005234977","0.3138283005220264"
"1","33","149219.75505944245","149219.75505944245","0.39051686841639904"
"2","11","515415.00143088534","515415.00143088534","0.25179899132314437"
"2","16","414360.8330911593","414360.8330911593","0.07722443254601848"
"2","3","47165.90399854539","47165.90399854539","0.8037225478981286"
"2","23","439555.11520172213","439555.11520172213","0.06267545641262391"
"2","22","436551.18657495274","436551.18657495274","0.1177974432119886"
"2","21","437403.36132681835","437403.36132681835","0.06353105584057213"
"2","20","433700.40961474687","433700.40961474687","0.06503089112340633"
"2","10","264379.686246882","264379.686246882","0.189011812718154"
"2","17","155496.78999902177","155496.78999902177","0.37537196705291503"
"2","9","232070.58172030307","232070.58172030307","0.23923504972387588"
"2","33","193594.28607270413","193594.28607270413","0.3192889255528887"
"3","16","421134.3083862909","421134.3083862909","0.07419766722567239"
"3","23","391236.7610539675","391236.7610539675","0.08498206273417512"
"3","22","388316.6280240898","388316.6280240898","0.15970186624398933"
"3","21","388814.8150469569","388814.8150469569","0.08628896378967896"
"3","20","385304.56161327666","385304.56161327666","0.08821888020214338"
"3","10","213176.2238149457","213176.2238149457","0.260984191905193"
"3","17","103311.43789532656","103311.43789532656","0.5215238406936803"
"3","9","181077.77362227507","181077.77362227507","0.31948905678886313"
"3","33","148630.45347438054","148630.45347438054","0.3919697050585999"
"4","7","30788.77717610753","30788.77717610753","0.8236492627010376"
"4","6","9760.0","9760.0","1.0510225792298866"
"4","5","1190.0","1190.0","0.9925294520752547"
"4","11","154942.5135332455","154942.5135332455","0.40512494763909374"
"4","45","527638.2413169077","527638.2413169077","0.03597874602927826"
"4","30","465938.8720637071","465938.8720637071","0.0530755811112094"
"4","28","414410.9353045593","414410.9353045593","0.0888415323640417"
"4","27","524294.2990344254","524294.2990344254","0.044317998692139024"
"4","29","312661.49315193854","312661.49315193854","0.13943095457570737"
"4","25","406918.91723044764","406918.91723044764","0.082694452576109"
"4","18","284921.97949614195","284921.97949614195","0.1731746346276592"
"4","19","314978.06606174965","314978.06606174965","0.1374103934320058"
"4","15","374925.17133422755","374925.17133422755","0.10233591938680418"
"4","8","198860.67585120985","198860.67585120985","0.3687662422802459"
"4","16","417644.3257126808","417644.3257126808","0.11018020002746746"
"5","7","29861.91052159925","29861.91052159925","0.8284738616028281"
"5","6","7697.194294026883","7697.194294026883","1.0642843075521975"
"5","11","152031.29151592433","152031.29151592433","0.41262538620936173"
"5","45","528132.1319518434","528132.1319518434","0.03586694804697064"
"5","30","466233.179857461","466233.179857461","0.05297724191541743"
"5","28","414531.9505176888","414531.9505176888","0.08877381138783695"
