"ID1","ID2","Dist","DistM"
"1","3","1220.0","1220.0"
"1","2","44301.09366595818","44301.09366595818"
"4","7","30788.77717610753","30788.77717610753"
"4","6","9760.0","9760.0"
"4","5","1190.0","1190.0"
"2","3","47165.90399854539","47165.90399854539"
"5","7","29861.91052159925","29861.91052159925"
"5","6","7697.194294026883","7697.194294026883"
"6","7","19003.03396829043","19003.03396829043"
"10","17","21960.0","21960.0"
"13","14","30637.31221892672","30637.31221892672"
"12","14","1220.0","1220.0"
"20","23","3660.0","3660.0"
"20","22","1704.2593699317015","1704.2593699317015"
"20","21","2380.0","2380.0"
"21","23","3408.518739863403","3408.518739863403"
"21","22","5950.0","5950.0"
"22","23","1190.0","1190.0"
"18","29","45056.8585234253","45056.8585234253"
"18","19","9520.0","9520.0"
"19","25","28962.55686226615","28962.55686226615"
"9","17","24079.775746464085","24079.775746464085"
"9","33","40259.999999999534","40259.999999999534"
"25","27","33222.76930058661","33222.76930058661"
"35","40","11306.652908796661","11306.652908796661"
"35","37","15661.241968630713","15661.241968630713"
"30","45","9654.185620755383","9654.185620755383"
"40","44","43020.60087911372","43020.60087911372"
"28","30","6985.563685201073","6985.563685201073"
"28","29","30500.0","30500.0"
"37","40","4324.176222126013","4324.176222126013"
"37","44","27768.480332924235","27768.480332924235"
"46","47","6817.037479726806","6817.037479726806"
"49","53","18300.0","18300.0"
"49","62","28336.169465896408","28336.169465896408"
"48","54","43919.99999999977","43919.99999999977"
"48","53","17169.755385560973","17169.755385560973"
"48","62","13634.074959453612","13634.074959453612"
"48","52","47920.642733586115","47920.642733586115"
"48","49","2380.0","2380.0"
"36","38","1220.0","1220.0"
"36","57","34967.196055732005","34967.196055732005"
"36","41","9760.0","9760.0"
"38","57","20230.0","20230.0"
"38","41","1220.0","1220.0"
"52","54","46233.02823739743","46233.02823739743"
"52","62","3570.0","3570.0"
"54","64","25534.613762498935","25534.613762498935"
"54","62","9256.16011097453","9256.16011097453"
"55","56","24705.24033479537","24705.24033479537"
"55","64","45226.611635186644","45226.611635186644"
"41","42","34085.18739863403","34085.18739863403"
"60","69","2440.0","2440.0"
"60","61","46554.09434195879","46554.09434195879"
"59","69","26840.0","26840.0"
"59","61","44406.09868024886","44406.09868024886"
"59","60","10392.425126023281","10392.425126023281"
"61","69","7320.0","7320.0"
"62","64","49964.34728884166","49964.34728884166"
