"Coord1","Coord2","Cost","Length"
"445577.6153845603-1024136.3541633543","487227.6153845603-1009496.3541633543","44148.0701729985","44148.0701729985"
"415827.6153845603-1126616.354163354","420587.6153845603-1108316.354163354","18908.929107699358","18908.929107699358"
"452717.6153845603-1259596.3541633538","497937.6153845603-1181516.3541633538","90229.34555896989","90229.34555896989"
"873977.6153845601-1551176.354163353","884687.6153845601-1558496.354163353","12972.528666378039","12972.528666378039"
"553867.6153845603-1004616.3541633543","741887.6153845601-1230316.3541633538","293755.0176592728","293755.0176592728"
"530067.6153845603-1190056.3541633538","551487.6153845603-1185176.3541633538","21968.859779242073","21968.859779242073"
"865647.6153845601-1514576.354163353","870407.6153845601-1526776.354163353","13095.709220962413","13095.709220962413"
"950137.6153845601-1340116.3541633536","953707.6153845601-1327916.3541633536","12711.604934075005","12711.604934075005"
"344427.6153845603-1076596.354163354","358707.6153845603-1093676.354163354","22263.081547710324","22263.081547710324"
"937047.6153845601-1517016.354163353","939427.6153845601-1519456.354163353","3408.518739863403","3408.518739863403"
"958467.6153845601-1504816.3541633533","983457.6153845601-1506036.3541633533","25019.762189117624","25019.762189117624"
"211147.61538456043-1131496.354163354","227807.61538456043-1149796.354163354","24747.638271156302","24747.638271156302"
"869217.6153845601-1506036.3541633533","876357.6153845601-1492616.3541633533","15201.184164399825","15201.184164399825"
"950137.6153845601-1340116.3541633536","951327.6153845601-1338896.3541633536","1704.2593699317015","1704.2593699317015"
"419397.6153845603-1070496.354163354","428917.6153845603-1049756.3541633543","22820.560904587564","22820.560904587564"
"578857.6153845603-1179076.3541633538","619317.6153845603-1181516.3541633538","40533.5071268204","40533.5071268204"
"420587.6153845603-1168096.354163354","519357.6153845603-1222996.3541633538","113002.31369312742","113002.31369312742"
"827567.6153845601-1527996.354163353","828757.6153845601-1535316.354163353","7416.0973564267615","7416.0973564267615"
"953707.6153845601-1349876.3541633536","963227.6153845601-1357196.3541633536","12008.863393344101","12008.863393344101"
"530067.6153845603-1190056.3541633538","544347.6153845603-1194936.3541633538","15090.818400603726","15090.818400603726"
"577667.6153845603-1185176.3541633538","583617.6153845603-1194936.3541633538","11430.664897546423","11430.664897546423"
"442007.6153845603-1002176.3541633543","445577.6153845603-1024136.3541633543","22248.292069280284","22248.292069280284"
"541967.6153845603-1126616.354163354","541967.6153845603-1152236.354163354","25620.0","25620.0"
"442007.6153845603-1002176.3541633543","487227.6153845603-1009496.3541633543","45808.632374258894","45808.632374258894"
"951327.6153845601-1338896.3541633536","953707.6153845601-1327916.3541633536","11234.98108587638","11234.98108587638"
"544347.6153845603-1194936.3541633538","551487.6153845603-1185176.3541633538","12092.857396000334","12092.857396000334"
"890637.6153845601-1525556.354163353","937047.6153845601-1517016.354163353","47189.19049952012","47189.19049952012"
"532447.6153845603-1147356.354163354","541967.6153845603-1152236.354163354","10697.887641959976","10697.887641959976"
"950137.6153845601-1513356.3541633533","958467.6153845601-1504816.3541633533","11929.81558952191","11929.81558952191"
"76677.61538456054-2427136.3541633515","76677.61538456054-2429576.3541633515","2440.0","2440.0"
"376557.6153845603-1069276.354163354","394407.6153845603-1086356.354163354","24705.24033479537","24705.24033479537"
"866837.6153845601-1503596.3541633533","869217.6153845601-1506036.3541633533","3408.518739863403","3408.518739863403"
"496747.6153845603-1181516.3541633538","515787.6153845603-1203476.3541633538","29064.810338276766","29064.810338276766"
"541967.6153845603-1174196.3541633538","543157.6153845603-1174196.3541633538","1190.0","1190.0"
"205197.61538456043-1205916.3541633538","223047.61538456043-1207136.3541633538","17891.643300714444","17891.643300714444"
"362277.6153845603-1155896.354163354","384887.6153845603-1157116.354163354","22642.89071651409","22642.89071651409"
"79057.61538456054-892376.3541633545","131417.61538456054-930196.3541633545","64590.41724590421","64590.41724590421"
"420587.6153845603-1168096.354163354","452717.6153845603-1259596.3541633538","96977.24939386535","96977.24939386535"
"809717.6153845601-1748816.3541633526","815667.6153845601-1748816.3541633526","5950.0","5950.0"
"420587.6153845603-1168096.354163354","497937.6153845603-1181516.3541633538","78505.53419982565","78505.53419982565"
"193297.61538456043-1113196.354163354","194487.61538456043-1103436.354163354","9832.278474494098","9832.278474494098"
"401547.6153845603-1111976.354163354","414637.6153845603-1104656.354163354","14997.68315440755","14997.68315440755"
"799007.6153845601-1774436.3541633526","837087.6153845601-1806156.3541633526","49560.516542909434","49560.516542909434"
"202817.61538456043-1204696.3541633538","204007.61538456043-1198596.3541633538","6214.989943676498","6214.989943676498"
"890637.6153845601-1525556.354163353","939427.6153845601-1519456.354163353","49169.84950149838","49169.84950149838"
"950137.6153845601-1513356.3541633533","983457.6153845601-1506036.3541633533","34114.58339185751","34114.58339185751"
"409877.6153845603-1241296.3541633538","443197.6153845603-1265696.3541633538","41298.697316017126","41298.697316017126"
"937047.6153845601-1491396.3541633533","937047.6153845601-1501156.3541633533","9760.0","9760.0"
"344427.6153845603-1076596.354163354","358707.6153845603-1081476.354163354","15090.818400603726","15090.818400603726"
"866837.6153845601-1503596.3541633533","876357.6153845601-1492616.3541633533","14532.405169138383","14532.405169138383"
"452717.6153845603-1259596.3541633538","519357.6153845603-1222996.3541633538","76029.26804856141","76029.26804856141"
"445577.6153845603-1069276.354163354","458667.6153845603-1090016.354163354","24525.409272833756","24525.409272833756"
"497937.6153845603-1181516.3541633538","519357.6153845603-1222996.3541633538","46684.11721345923","46684.11721345923"
"-49462.384615439456-1795176.3541633526","-10192.384615439456-1798836.3541633526","39440.18889407098","39440.18889407098"
