ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119
1	0.0	44301.09366595818	1220.0	758259.8729427147	755348.6509253934	762536.1773927715	778775.4243167427	959982.3620379858	183914.79005234977	218312.2765673058	562629.2727009497	1307653.0418659255	1369928.264812197	1308853.5884430818	1135977.0334979058	425986.5091760531	108045.3353921395	1034141.8533058076	1069060.0396991111	390963.3897182693	394446.6586244575	393996.04934567463	396904.7620021701	1521060.7018109881	1163670.5505584055	1572712.4169040495	1281596.3692867854	1146087.2926816954	1047548.7787968096	1199889.802251141	588469.5007389919	1530460.0263100914	149219.75505944245	1528440.6640184629	742442.5616475536	1161490.6901792537	758854.7817974417	1141800.220165094	1515728.446633871	781091.3507303577	1177653.2621653278	1255676.1691224456	1484719.2950884078	831379.9951687607	1263492.8726209626	987757.4773222548	1007388.3913614142	1014583.7264981794	998155.6457701058	990398.8783145642	1043826.0004805556	1039081.3053886853	1038171.1774767807	1069398.590390397	1079426.8795281122	1120151.1615701565	1051532.9293836826	1204024.5347358587	1208347.0078455112	1239826.1720798896	1255239.352430525	1026904.7473110186	1526554.817215981	1106365.5673568633	1411451.9983076623	1400083.1572446343	1557461.509537777	1511630.9002627772	1257507.7816025617	1577263.9120876144	1419605.0632209105	1445484.1357168802	1346209.2247176208	1355752.874592362	2037813.3021094745	2056840.2363733032	1482951.776070899	1849074.3379357662	1487281.428615043	1631930.4154666746	1595542.3065167058	1570401.338782792	1667187.352806981	1512885.6105604835	1677175.3272665972	1579696.2793419478	1614479.2984569012	1214106.0213885307	1516929.9458117704	1609841.4159252634	1590917.2383140696	1676477.0523987745	1742652.4025661375	1636828.7190062604	1570909.9363573052	1620731.19070499	1780294.715100264	2201092.6979417135	1671308.5295777854	1775813.7699894772	1859038.3940162766	1826035.5358022419	1756401.3236358701	2121700.1914860327	1934458.5681590894	2050787.2406548616	2001673.589017999	1818244.452733638	1837067.407115048	2163350.19835756	1928094.5980709426	1728822.5307928522	1867362.0584892093	2123019.1828779597	1924883.771981157	2023195.1056244667	1955667.709228749	1969910.0111700364	1944818.3992183204
2	44301.09366595818	0.0	47165.90399854539	711045.6016726503	708134.379655329	715321.9061227071	731561.1530466783	912768.0907679214	232070.58172030307	264379.686246882	515415.00143088534	1260438.7705958611	1322713.9935421324	1261639.3171730177	1088762.7622278417	414360.8330911593	155496.78999902177	986927.5820357432	1021845.7684290468	433700.40961474687	437403.36132681835	436551.18657495274	439555.11520172213	1473846.430540924	1116456.2792883408	1525498.145633985	1234382.0980167212	1098873.0214116313	1002118.2175231751	1152675.5309810766	626497.0187478934	1483245.7550400272	193594.28607270413	1483305.5611678646	780470.0796564551	1150316.7246086504	796882.2998063432	1130626.2545944906	1468514.1753638068	819118.8687392592	1166479.2965947245	1244502.2035518424	1473545.3295178046	869407.5131776622	1218522.962997601	1030312.6145515328	1047935.2793783271	1052611.2445070809	1036183.1637790073	979224.912743961	1086381.1377098337	1077108.8233975868	1076198.6954856822	1107426.1083992985	1117454.397537014	1158178.679579058	1040358.9638130793	1242052.0527447602	1246374.525854413	1277853.6900887908	1293266.8704394265	1064932.2653199201	1515380.8516453777	1144393.0853657648	1452073.4069618117	1438110.675253536	1546287.5439671734	1500456.9346921737	1295535.2996114632	1566089.9465170112	1457632.581229812	1483511.6537257817	1384236.7427265225	1393780.3926012637	2026639.336538871	2045666.2708026997	1520979.2940798008	1837900.372365163	1525308.9466239447	1622011.9546181066	1635611.8717818235	1608428.8567916937	1656013.3872363777	1550913.128569385	1673244.6003428577	1617723.7973508493	1652506.816465803	1252133.5393974322	1558506.176951253	1647868.9339341652	1628944.756322971	1714504.5704076763	1731478.4369955342	1674856.237015162	1608937.4543662067	1662284.860308642	1769120.7495296604	2189918.7323711105	1709336.047586687	1813841.287998379	1847864.4284456733	1814861.5702316386	1778107.247633821	2110526.2259154296	1923284.6025884862	2039613.2750842583	1996563.8419989818	1846307.8434872068	1875094.9251239493	2152176.232786957	1916920.6325003393	1766850.0488017537	1905389.5764981108	2111845.2173073567	1962911.2899900584	2061222.6236333684	1993695.2272376507	2007937.5291789381	1982845.9172272221
3	1220.0	47165.90399854539	0.0	756162.5254699357	753251.3034526145	760438.8299199925	776678.0768439637	957885.0145652068	181077.77362227507	213176.2238149457	560531.9252281707	1305555.6943931466	1367830.917339418	1306756.2409703028	1133879.6860251268	421134.3083862909	103311.43789532656	1032044.5058330286	1066962.6922263321	385304.56161327666	388814.8150469569	388316.6280240898	391236.7610539675	1518963.3543382091	1161573.2030856265	1570615.0694312705	1279499.0218140064	1143989.9452089164	1042696.5780070474	1196432.928069192	582477.9539175696	1528362.6788373124	148630.45347438054	1523588.4632287007	736451.0148261313	1156638.4893894915	752863.2349760194	1136948.0193753317	1513013.5150789265	775099.8039089354	1172801.0613755656	1250823.9683326834	1479867.0942986456	825388.4483473384	1258640.6718312004	982078.05600067	1001708.9700398294	1008592.1796767572	992164.0989486835	985546.677524802	1038146.5791589707	1033089.7585672631	1032179.6306553583	1063407.0435689746	1073435.33270669	1114159.614748734	1046680.7285939204	1198032.9879144365	1202355.461024089	1233834.6252584672	1249247.8056091028	1020913.2004895963	1521702.6164262188	1100374.020535441	1405772.5769860775	1394091.6104232122	1552609.3087480147	1506778.699473015	1251516.2347811395	1572411.7112978522	1413613.5163994883	1439492.5888954578	1340217.6778961986	1349761.3277709398	2032961.1013197124	2051988.035583541	1476960.229249477	1844222.137146004	1481289.8817936208	1626250.9941450898	1589862.885195121	1564409.79196137	1662335.1520172188	1506894.0637390614	1671495.9059450123	1573704.7325205253	1608487.7516354793	1208114.4745671083	1511250.5244901855	1603849.8691038413	1584925.6914926472	1670485.5055773526	1737800.2017763753	1630837.172184838	1564918.389535883	1615051.769383405	1775442.5143105017	2196240.4971519513	1665316.982756363	1769822.223168055	1854186.1932265144	1821183.3350124797	1750721.9023142853	2116847.9906962705	1929606.3673693272	2045935.0398650994	1995994.167696414	1812565.0314120532	1831075.8602936256	2158497.997567798	1923242.3972811804	1722830.98397143	1861370.511667787	2118166.9820881975	1918892.2251597345	2017203.5588030443	1949676.1624073265	1963918.464348614	1938826.852396898
4	758259.8729427147	711045.6016726503	756162.5254699357	0.0	1190.0	9760.0	30788.77717610753	198860.67585120985	894081.833363868	844588.2151079602	154942.5135332455	546354.3909405321	608629.6138868035	547554.9375176885	374925.17133422755	417644.3257126808	780543.8411138317	284921.97949614195	314978.06606174965	869041.9862692861	874209.4132806482	867500.2794336826	870360.4822726692	759939.0156242123	406918.91723044764	811590.7307172735	524294.2990344254	414410.9353045593	312661.49315193854	465938.8720637071	916061.4221230062	774939.250520812	907172.9789443163	784910.2121086564	1018162.9161399851	601656.6423633989	993931.5598830344	621495.6218671203	784094.5053708681	1037542.5317402615	643971.323895714	712141.8820565974	831501.1831758367	1060186.9032142656	527638.2413169077	1025703.199123174	1065997.0199420562	1259797.4487259763	1251264.3379997832	677305.4868270633	1336872.9270854509	1273248.8628001583	1288761.384027118	1310200.6209767216	1340608.763805218	1396355.1022987822	548382.5603536266	1468300.2007418864	1460233.144036241	1490149.8548213406	1519238.3588951807	1263775.4726444257	954418.7020443473	1350077.0290811337	1222802.615580335	1329022.4954785234	1234494.1205776264	1188663.5113026267	1508235.4405732122	1253772.9526526786	1357376.66823238	1359105.6340536573	1236346.834549932	1530407.0525198528	1416092.164050078	1424929.4519831822	1349290.915224586	1312697.0960113294	1397286.3210705807	1310218.5312285596	1331791.3486622842	1364798.2026654566	1336694.6610879977	1421060.8734603522	1361451.1769533106	1412169.62898335	1395090.1180557364	1360402.0740849122	1291734.6577108358	1420410.8882798825	1472648.8145918068	1430848.6461182223	1410476.09959263	1472985.0239465842	1551487.9685062915	1372818.1631509042	1446213.0117652474	1610803.9328606203	1495180.7747936086	1527224.2143876988	1521615.4213937898	1496305.4980672323	1466313.824244274	1612962.1892673268	1602282.265185582	1605595.6766577635	1673656.1042345688	1534514.4200976598	1985585.8014514148	1645187.8285433205	1591844.807903643	1633332.7414464138	1718826.806112246	1785604.0912763875	1741672.9560440388	1837604.6089940984	1998011.8678047664	1981080.8731939304	2004191.1433814482
5	755348.6509253934	708134.3796553292	753251.3034526145	1190.0	0.0	7697.194294026883	29861.91052159925	201748.78463078768	891170.6113465468	841676.993090639	152031.29151592433	549680.5985297278	611775.4114051983	550774.3110385594	377962.7177381387	413477.64207995555	777632.6190965106	286027.5624830585	316587.05595775694	864875.3026365609	870042.7296479228	863333.5958009572	866193.7986399439	762827.1244037901	408806.1228748903	814478.8394968513	526083.9530911387	414531.9505176888	312992.30022478144	466233.179857461	911894.7384902809	776728.9045775254	904261.756926995	786015.795095573	1013996.2325072598	599960.0333355538	989764.8762503092	619613.2936759819	784215.5205839977	1033375.8481075362	642350.6202223195	710521.1783832029	831622.1983889663	1056020.2195815402	528132.1319518434	1024776.3324686657	1065070.1532875479	1255630.765093251	1247097.6543670578	676378.620172555	1332706.2434527255	1269082.179167433	1284594.7003943927	1306033.9373439963	1336442.0801724927	1392188.4186660568	546484.270587909	1464133.517109161	1456066.4604035157	1485983.1711886153	1515071.6752624554	1259608.7890117003	954539.7172574769	1345910.3454484083	1221875.7489258267	1328095.6288240151	1233567.253923118	1187736.6446481184	1504068.7569404868	1251892.5347406701	1356449.8015778717	1358178.767399149	1235419.9678954238	1529480.1858653445	1416213.1792632076	1425050.4671963118	1348364.0485700776	1311076.3923379348	1396359.4544160725	1309291.6645740513	1330864.482007776	1363871.3360109483	1334796.3713222798	1420134.006805844	1360524.3102988023	1411242.7623288417	1394163.2514012281	1359475.207430404	1290807.7910563275	1419484.0216253742	1471721.9479372986	1429921.779463714	1409549.2329381218	1472058.157292076	1550561.1018517832	1371891.296496396	1444314.7219995295	1610924.94807375	1494253.9081391003	1526297.3477331905	1519717.131628072	1494407.2083015144	1465386.9575897658	1611341.4855939322	1601355.3985310737	1603974.972984369	1671757.8144688508	1533587.5534431515	1984658.9347969065	1643567.124869926	1589946.518137925	1632405.8747919055	1717899.9394577376	1783705.8015106695	1740746.0893895305	1836677.74233959	1997085.0011502581	1980154.006539422	2003264.27672694
6	762536.1773927715	715321.9061227072	760438.8299199925	9760.0	7697.194294026883	0.0	19003.03396829043	195054.57723416787	898358.1378139248	848864.519558017	159218.81798330235	544131.4521326623	605638.7784810344	544875.3091304466	371561.4490229037	414953.9020180432	784820.1455638886	276109.98261562356	307269.6717868523	866105.8029006512	871273.2299120133	864564.0960650477	867424.2989040343	756132.9170071704	399904.58124407614	807784.6321002315	517012.406911091	403851.1790251449	302427.5926564898	455638.62917886977	912045.1305062433	767657.3583974777	911449.283394373	776098.215228138	1013596.970682015	589456.135772628	989365.6144250643	609252.6117301416	773534.7490914539	1032976.5862822912	631795.9823392347	699966.540500118	820941.4268964223	1055620.9577562953	517658.1497474944	1013917.4559153569	1054211.276734239	1255231.503268006	1246698.392541813	665519.7436192462	1332306.9816274806	1268682.917342188	1284195.4385691478	1305634.6755187514	1336042.8183472478	1391789.156840812	536136.9560103081	1463734.2552839161	1455667.1985782709	1485583.9093633704	1514672.4134372105	1259209.5271864554	943858.9457649329	1345511.0836231634	1211016.8723725178	1317236.7522707065	1222708.3773698092	1176877.7680948095	1503669.495115242	1241545.2201630692	1345590.925024563	1347319.8908458403	1224561.091342115	1518621.3093120356	1405532.4077706635	1414369.695703768	1337505.1720167687	1300521.75445485	1385500.5778627635	1298432.7880207424	1320005.6054544672	1353012.4594576396	1324449.0567446789	1409275.130252535	1349665.4337454934	1400383.885775533	1383304.3748479192	1348616.330877095	1279948.9145030186	1408625.1450720653	1460863.0713839894	1419062.9029104053	1398690.3563848129	1461199.2807387672	1539702.2252984745	1361032.4199430873	1433967.4074219286	1600244.1765812058	1483395.0315857914	1515438.4711798818	1509369.817050471	1484059.8937239135	1454528.0810364569	1600786.8477108474	1590496.5219777648	1593420.335101284	1661410.49989125	1522728.6768898426	1973800.0582435979	1633012.486986841	1579599.2035603242	1621546.9982385968	1707041.0629044287	1773358.4869330686	1729887.2128362218	1825818.8657862814	1986226.1245969494	1969295.1299861134	1992405.4001736313
7	778775.4243167427	731561.1530466784	776678.0768439637	30788.77717610753	29861.91052159925	19003.03396829043	0.0	181684.61905180625	914079.5834182245	858803.7267241317	174573.89524210073	532334.1737104615	592588.2365521607	532358.4675761246	358219.6902739991	414770.43771223596	800541.5911681883	255025.5251930676	287574.53016565973	865922.338594844	871089.7656062059	864380.6317592403	867240.834598227	742762.9588248087	381313.67310916074	794185.8926728677	497907.0870152378	379866.6014537204	279141.9153405661	432097.7696077586	911861.6662004361	748552.0385016244	927688.5303183442	755013.757805582	1013413.5063762076	563169.4236195702	989182.1501192569	583041.2794991437	749550.1715200293	1032793.1219764841	605496.7220390203	673667.2801999036	796956.8493249977	1055437.493450488	494675.9631314214	985658.2618360916	1025952.0826549738	1255048.0389621987	1246514.9282360056	637260.549539981	1332123.5173216732	1265085.0010894425	1284011.9742633405	1305451.211212944	1335859.3540414404	1391605.6925350046	509936.5161468622	1463550.7909781088	1455483.7342724635	1485400.445057563	1514488.9491314031	1259026.062880648	919874.3681935084	1345327.619317356	1182757.6782932528	1288977.5581914412	1194449.183290544	1148618.5740155443	1502498.1649382806	1213728.0153655964	1317331.7309452975	1319060.696766575	1196301.8972628498	1490362.1152327703	1381547.8301992388	1390385.1181323435	1309245.9779375037	1274222.4941546356	1357241.3837834983	1270173.5939414771	1291746.411375202	1324753.2653783744	1298248.6168812332	1381015.93617327	1321406.2396662282	1372124.6916962678	1355045.1807686542	1320357.13679783	1251689.7204237534	1380365.9509928003	1432603.8773047244	1390803.70883114	1370431.1623055479	1432940.086659502	1511443.031219209	1332773.2258638218	1407766.967558483	1576259.5990097811	1455135.8375065264	1487179.2771006166	1483169.3771870253	1456579.2541979512	1426268.8869571916	1574487.587410633	1562237.3278984998	1567121.0748010697	1635210.0600278042	1494469.4828105774	1945540.8641643324	1606713.2266866267	1553398.7636968784	1593287.8041593316	1678781.8688251637	1747158.047069623	1701628.0187569568	1797559.671707016	1957966.930517684	1941035.935906848	1964146.2060943658
8	959982.3620379858	912768.0907679215	957885.0145652068	198860.67585120985	201748.78463078768	195054.57723416787	181684.61905180625	0.0	1095804.3224591392	1039596.6929413177	356665.0026285167	342719.9999999998	401985.84054665384	342019.92763580295	167602.05845991266	595563.4039294218	982266.330209103	129878.506304931	134661.4391724669	1046715.3048120298	1051882.7318233917	1045173.5979764261	1048033.8008154129	550753.6654439982	211321.01551904387	602405.3805370594	329193.39802006923	283015.95856064325	190334.88067088445	323323.01742993755	1092654.632417622	577573.5928866548	1108895.4680395874	602467.3937235101	1194206.4725933936	540637.9794280078	1169975.116336443	565627.5040165557	632233.0867646825	1213586.08819367	577570.9484556842	620990.2618399088	695331.7190384383	1236230.4596676738	373417.66696287884	1133952.4127353402	1172040.926045544	1435841.0051793845	1427307.8944531914	719747.4253586855	1512916.483538859	1416236.5619931729	1464804.9404805263	1474928.31163488	1516652.3202586262	1572398.6587521904	502299.7113278078	1641578.812675431	1612641.9655042393	1634709.0872475617	1684362.8971914123	1427144.137543717	821829.6881865603	1509219.034748341	1246414.0473552058	1362323.47084638	1198495.2409948118	1169271.1811104163	1649735.9992790325	1208399.4929438597	1423644.1836262099	1390572.4215008796	1269647.8099177887	1586186.64157581	1279922.6999126794	1288759.987845784	1377073.418854094	1213575.7955387095	1425480.1084735626	1274604.6500217868	1322420.2901758715	1385165.8342547864	1291303.3295254693	1447792.7457842785	1325131.966775705	1438886.3933380402	1395603.8116694367	1474166.7686667794	1322412.5714470302	1429233.641082057	1496260.2463666773	1420259.871877897	1374431.4432961354	1482429.8866553819	1595582.9636633096	1364995.1042141153	1400821.680202719	1474634.4687232217	1496051.855247569	1495639.191417311	1476224.0898312614	1450914.166504704	1428882.2407751342	1514060.1372639108	1567392.0415778216	1503084.306663995	1628264.7726720404	1495144.2921916803	2049228.7529366612	1546285.7765399045	1546453.4763411146	1652787.779127328	1714688.871419711	1740212.759713859	1723046.0039666288	1810542.3385825278	2042130.7395777078	2013785.1364647057	2054937.8006163617
9	183914.79005234977	232070.58172030307	181077.77362227507	894081.8333638681	891170.6113465468	898358.1378139248	914079.5834182245	1095804.3224591392	0.0	88771.75451685069	701000.2794651388	1443475.0022870789	1505750.2252333504	1444675.5488642352	1271798.9939190592	489280.3016676635	24079.775746464085	1130840.4826538616	1176143.7692552905	249964.75431548298	251517.42146419952	254382.58293365873	256172.852777182	1642973.5995344566	1270807.6696878201	1677861.0206319531	1378473.4562903703	1221769.8167205534	1111524.8175043017	1265261.1675664461	460742.3819229127	1611785.5572514536	40259.999999999534	1592416.7027259548	612972.9537263442	1221367.0707159077	631712.4339444322	1201676.600701748	1577742.0964053427	653033.8267655042	1237529.6427019818	1315552.5496590997	1544595.6756250618	704381.6581815807	1327468.9113284545	848332.6080572522	867963.5220964118	882196.7485224305	864567.5016131751	1050275.2588512183	901190.1778200553	910751.4831098273	903276.504263439	938605.259242288	951452.2270066333	991699.4843753601	1111409.3099203366	1076049.8822143795	1076867.3183197184	1107710.831526215	1127264.6999090458	896976.1082910602	1586431.197752635	973269.3641996721	1272027.12904266	1272940.809391625	1445581.6482280279	1379945.9568561383	1125683.1396299957	1471806.5110088368	1292462.7153679011	1318341.7878638706	1219066.8768646114	1227054.2473944584	2097689.6826461283	2116716.616909957	1355809.4282178897	1908950.7184724202	1360139.0807620336	1492505.546201672	1456117.4372517033	1433118.2383611945	1554991.7569676205	1385743.2627074742	1537750.4580015945	1452553.9314889382	1478091.02251368	1086302.680416805	1377505.0765467677	1482699.068072254	1463774.89046106	1538475.682206738	1644905.4279499832	1509686.3711532508	1442580.1140784472	1481306.3214399875	1657621.1368263792	2260969.0784783675	1544166.1817247758	1640981.3225998345	1737334.55262673	1721020.1519188792	1616976.4543708675	2018656.4196369653	1837821.661942821	1949386.4562802522	1862248.7197529962	1678819.5834686353	1704952.0665613734	2063677.8967656046	1816884.967127125	1601680.1829398428	1740219.7106362	2000374.7991019292	1797741.4241281473	1896052.757771457	1826969.0820308453	1841211.3839721328	1815729.1060080426
10	218312.2765673058	264379.686246882	213176.2238149457	844588.2151079602	841676.9930906389	848864.5195580169	858803.7267241317	1039596.6929413176	88771.75451685069	0.0	651506.6612092309	1391415.2917345383	1450681.1322811923	1390715.2193703414	1216297.3501944512	414183.3962147684	21960.0	1055743.5772009664	1101046.8638023953	175684.03029302304	178219.35052064306	179339.99999999953	181783.89505123888	1567876.6940815614	1195710.764234925	1602764.115179058	1303376.5508374749	1146672.9112676585	1036427.9120514066	1190164.2621135511	383754.0175685452	1536688.6517985587	149386.7507511957	1517319.7972730598	537587.0389992667	1146270.1652630125	552788.4850464948	1126579.6952488527	1502645.1909524472	576729.307734572	1162432.7372490866	1240455.6442062045	1469498.7701721666	626324.0784130837	1252372.0058755595	773101.4279765796	792732.3420157392	808188.3892076035	790700.9969549153	975178.3533983233	828166.826014826	835094.6040471378	829703.7141815553	864435.5735145502	874463.8626522657	915188.1446943097	1036312.4044674414	999061.517860012	1003000.8136614586	1033844.3268679552	1050276.3355546785	822335.2328942345	1511334.2922997398	899402.8595414123	1196795.9489619872	1191983.365454985	1370350.4681473551	1304714.7767754658	1051816.634971736	1396575.3309281643	1211505.2714312612	1237384.3439272307	1138109.4329279715	1151390.8315965764	2022592.7771932331	2041619.7114570618	1274851.9842812498	1833853.813019525	1279181.6368253937	1417274.3661209994	1380886.2571710306	1357887.058280522	1479760.5768869482	1304785.8187708342	1462519.2779209218	1371596.4875522982	1402859.8424330074	1009998.1613858728	1302273.8964660952	1401741.6241356141	1382817.44652442	1463244.5021260653	1569674.247869311	1428728.9272166109	1366923.2350157576	1406075.1413593148	1582389.9567457065	2185872.1730254726	1463208.737788136	1565750.142519162	1662103.3725460572	1645788.9718382065	1541745.274290195	1943425.239556293	1762590.4818621483	1874155.2761995797	1787017.5396723237	1603588.4033879628	1631085.5619031135	1988446.7166849324	1741653.7870464523	1520722.7390032029	1659262.26669956	1925143.6190212565	1716783.9801915074	1815095.3138348171	1751305.666232963	1765547.9681742506	1740456.3562225346
