"Coord1","Coord2","Cost","Length"
"332867.6153845603-1118656.354163354","333867.6153845603-1119656.354163354","1414.213562373095","1414.213562373095"
"433867.6153845603-1014656.3541633543","435867.6153845603-1006656.3541633543","8246.211251235321","8246.211251235321"
"-498132.38461543916-2340656.3541633515","-490132.38461543916-2335656.3541633515","9433.981132056604","9433.981132056604"
"406867.6153845603-1123656.354163354","407867.6153845603-1124656.354163354","1414.213562373095","1414.213562373095"
"347867.6153845603-1098656.354163354","357867.6153845603-1095656.354163354","10440.30650891055","10440.30650891055"
"-51132.38461543934-1798656.3541633526","-50132.38461543934-1796656.3541633526","2236.06797749979","2236.06797749979"
"229867.61538456043-1203656.3541633538","302867.6153845603-1213656.3541633538","73681.74807915447","73681.74807915447"
"535867.6153845603-1120656.354163354","539867.6153845603-1096656.354163354","24331.05012119288","24331.05012119288"
"605867.6153845603-1100656.354163354","788867.6153845601-1364656.3541633536","321224.22075553343","321224.22075553343"
"-5132.384615439456-1886656.3541633524","11867.615384560544-1764656.3541633526","123178.7319304755","123178.7319304755"
"536867.6153845603-1126656.354163354","541867.6153845603-1151656.354163354","25495.097567963923","25495.097567963923"
"-566132.3846154391-1164656.354163354","-553132.3846154391-1159656.354163354","13928.38827718412","13928.38827718412"
"229867.61538456043-1203656.3541633538","247867.61538456043-1270656.3541633538","69375.78828380979","69375.78828380979"
"296867.6153845603-910656.3541633545","338867.6153845603-921656.3541633545","43416.58669218482","43416.58669218482"
"410867.6153845603-1178656.3541633538","512867.6153845603-1317656.3541633536","172409.3964956665","172409.3964956665"
"816867.6153845601-2571656.354163351","818867.6153845601-2567656.354163351","4472.13595499958","4472.13595499958"
"394867.6153845603-1168656.354163354","395867.6153845603-1191656.3541633538","23021.728866442445","23021.728866442445"
"540867.6153845603-1174656.3541633538","547867.6153845603-1176656.3541633538","7280.1098892805185","7280.1098892805185"
"-258132.38461543928-2269656.3541633515","-195132.38461543934-2233656.3541633515","72560.3197346869","72560.3197346869"
"883867.6153845601-1459656.3541633533","896867.6153845601-1455656.3541633533","13601.470508735443","13601.470508735443"
"850867.6153845601-2437656.3541633515","908867.6153845601-2393656.3541633515","72801.09889280518","72801.09889280518"
"864867.6153845601-1495656.3541633533","872867.6153845601-1490656.3541633533","9433.981132056604","9433.981132056604"
"587867.6153845603-1650656.3541633529","602867.6153845603-1655656.3541633529","15811.388300841896","15811.388300841896"
"378867.6153845603-1193656.3541633538","395867.6153845603-1191656.3541633538","17117.24276862369","17117.24276862369"
"424867.6153845603-1167656.354163354","496867.6153845603-1180656.3541633538","73164.19889536135","73164.19889536135"
"939867.6153845601-1370656.3541633536","955867.6153845601-1349656.3541633536","26400.757564888172","26400.757564888172"
"917867.6153845601-647656.3541633552","943867.6153845601-643656.3541633552","26305.89287593181","26305.89287593181"
"999867.6153845601-1323656.3541633536","1001867.6153845601-1331656.3541633536","8246.211251235321","8246.211251235321"
"291867.6153845603-918656.3541633545","327867.6153845603-937656.3541633545","40706.26487409524","40706.26487409524"
"421867.6153845603-715656.3541633547","480867.6153845603-776656.3541633547","84864.5980371085","84864.5980371085"
"134867.61538456054-990656.3541633543","215867.61538456043-948656.3541633543","91241.4379544732","91241.4379544732"
"249867.61538456043-926656.3541633545","258867.61538456043-925656.3541633545","9055.385138137417","9055.385138137417"
"36867.615384560544-958656.3541633543","70867.61538456054-989656.3541633543","46010.86828130936","46010.86828130936"
"469867.6153845603-2291656.3541633515","495867.6153845603-2294656.3541633515","26172.5046566048","26172.5046566048"
"-535132.3846154391-1914656.3541633524","-514132.3846154391-1902656.3541633524","24186.77324489565","24186.77324489565"
"412867.6153845603-1125656.354163354","423867.6153845603-1115656.354163354","14866.068747318506","14866.068747318506"
"-206132.38461543934-2065656.354163352","-176132.38461543934-2095656.354163352","42426.40687119285","42426.40687119285"
"142867.61538456054-833656.3541633545","258867.61538456043-925656.3541633545","148054.04418657388","148054.04418657388"
"-528132.3846154391-2331656.3541633515","-528132.3846154391-2332656.3541633515","1000.0","1000.0"
"425867.6153845603-1288656.3541633536","442867.6153845603-1265656.3541633538","28600.699292149995","28600.699292149995"
"-208132.38461543934-2075656.354163352","-207132.38461543934-2082656.354163352","7071.067811865475","7071.067811865475"
"-260132.38461543928-2031656.3541633522","-210132.38461543934-2058656.354163352","56824.29058070133","56824.29058070133"
"-45132.38461543934-1776656.3541633526","-45132.38461543934-1786656.3541633526","10000.0","10000.0"
"75867.61538456054-902656.3541633545","78867.61538456054-891656.3541633545","11401.75425099138","11401.75425099138"
"-528132.3846154391-1917656.3541633524","-517132.3846154391-1914656.3541633524","11401.75425099138","11401.75425099138"
"528867.6153845603-1178656.3541633538","544867.6153845603-1174656.3541633538","16492.422502470643","16492.422502470643"
"490867.6153845603-1035656.3541633543","513867.6153845603-1032656.3541633543","23194.827009486406","23194.827009486406"
"-255132.38461543928-2240656.3541633515","-187132.38461543934-2252656.3541633515","69050.70600652821","69050.70600652821"
"840867.6153845601-1783656.3541633526","846867.6153845601-1792656.3541633526","10816.653826391968","10816.653826391968"
"792867.6153845601-1158656.354163354","794867.6153845601-1222656.3541633538","64031.242374328256","64031.242374328256"
"75867.61538456054-902656.3541633545","133867.61538456054-926656.3541633545","62769.41930590086","62769.41930590086"
"-479132.38461543916-2359656.3541633515","-471132.38461543916-2349656.3541633515","12806.248474865697","12806.248474865697"
"585867.6153845603-1084656.354163354","797867.6153845601-1323656.3541633536","319476.1336938953","319476.1336938953"
"-191132.38461543934-2058656.354163352","-176132.38461543934-2095656.354163352","39924.92955535426","39924.92955535426"
"-126132.38461543934-951656.3541633543","60867.615384560544-966656.3541633543","187600.63965775797","187600.63965775797"
"527867.6153845603-1137656.354163354","553867.6153845603-1145656.354163354","27202.941017470886","27202.941017470886"
"75867.61538456054-902656.3541633545","82867.61538456054-929656.3541633545","27892.651361962708","27892.651361962708"
"455867.6153845603-1155656.354163354","504867.6153845603-1159656.354163354","49162.994213127415","49162.994213127415"
"410867.6153845603-1178656.3541633538","413867.6153845603-1172656.3541633538","6708.203932499369","6708.203932499369"
"420867.6153845603-1048656.3541633543","425867.6153845603-1048656.3541633543","5000.0","5000.0"
"527867.6153845603-1139656.354163354","548867.6153845603-1129656.354163354","23259.406699226016","23259.406699226016"
"868867.6153845601-1490656.3541633533","868867.6153845601-1506656.3541633533","16000.0","16000.0"
"489867.6153845603-1043656.3541633543","511867.6153845603-1052656.3541633543","23769.728648009426","23769.728648009426"
"533867.6153845603-1114656.354163354","560867.6153845603-1122656.354163354","28160.255680657447","28160.255680657447"
"-341132.3846154392-2173656.354163352","-331132.3846154392-2221656.3541633515","49030.602688524596","49030.602688524596"
"828867.6153845601-1850656.3541633524","834867.6153845601-1861656.3541633524","12529.964086141668","12529.964086141668"
"547867.6153845603-1004656.3541633543","664867.6153845603-1172656.3541633538","204726.64701987343","204726.64701987343"
"53867.615384560544-1053656.3541633543","83867.61538456054-1056656.354163354","30149.626863362646","30149.626863362646"
"22867.615384560544-691656.3541633547","79867.61538456054-574656.3541633552","130146.07178090276","130146.07178090276"
"264867.6153845604-870656.3541633545","277867.6153845604-896656.3541633545","29068.883707497265","29068.883707497265"
"-91132.38461543934-1781656.3541633526","-88132.38461543934-1794656.3541633526","13341.664064126333","13341.664064126333"
"477867.6153845603-776656.3541633547","482867.6153845603-763656.3541633547","13928.38827718412","13928.38827718412"
"435867.6153845603-1257656.3541633538","442867.6153845603-1286656.3541633536","29832.86778035237","29832.86778035237"
"540867.6153845603-1151656.354163354","541867.6153845603-1151656.354163354","1000.0","1000.0"
"556867.6153845603-1005656.3541633543","792867.6153845601-1359656.3541633536","425455.05050475005","425455.05050475005"
"883867.6153845601-1459656.3541633533","891867.6153845601-1468656.3541633533","12041.594578792296","12041.594578792296"
"956867.6153845601-1302656.3541633536","1002867.6153845601-1306656.3541633536","46173.58552246078","46173.58552246078"
"790867.6153845601-1222656.3541633538","804867.6153845601-1154656.354163354","69426.2198308389","69426.2198308389"
"229867.61538456043-1203656.3541633538","263867.6153845604-1273656.3541633538","77820.30583337488","77820.30583337488"
"239867.61538456043-989656.3541633543","247867.61538456043-980656.3541633543","12041.594578792296","12041.594578792296"
"543867.6153845603-1013656.3541633543","605867.6153845603-1100656.354163354","106831.64325236208","106831.64325236208"
"135867.61538456054-986656.3541633543","217867.61538456043-954656.3541633543","88022.72433866144","88022.72433866144"
"179867.61538456043-1189656.3541633538","185867.61538456043-1187656.3541633538","6324.555320336759","6324.555320336759"
"466867.6153845603-1163656.354163354","504867.6153845603-1159656.354163354","38209.9463490856","38209.9463490856"
"-349132.3846154392-2177656.354163352","-341132.3846154392-2173656.354163352","8944.27190999916","8944.27190999916"
"229867.61538456043-1079656.354163354","236867.61538456043-1083656.354163354","8062.25774829855","8062.25774829855"
"540867.6153845603-1174656.3541633538","541867.6153845603-1174656.3541633538","1000.0","1000.0"
"664867.6153845603-1026656.3541633543","677867.6153845601-1019656.3541633543","14764.823060233195","14764.823060233195"
"-391132.3846154392-2132656.354163352","-386132.3846154392-2132656.354163352","5000.0","5000.0"
"-193132.38461543934-882656.3541633545","-192132.38461543934-886656.3541633545","4123.105625617661","4123.105625617661"
"535867.6153845603-1215656.3541633538","567867.6153845603-1233656.3541633538","36715.119501371635","36715.119501371635"
"-238132.38461543928-869656.3541633545","-236132.38461543934-913656.3541633545","44045.431091090475","44045.431091090475"
"533867.6153845603-1113656.354163354","538867.6153845603-1123656.354163354","11180.339887498949","11180.339887498949"
"178867.61538456043-1202656.3541633538","203867.61538456043-1203656.3541633538","25019.992006393608","25019.992006393608"
"-497132.38461543916-2338656.3541633515","-490132.38461543916-2335656.3541633515","7615.773105863908","7615.773105863908"
"833867.6153845601-1542656.354163353","870867.6153845601-1520656.354163353","43046.486500061765","43046.486500061765"
"325867.6153845603-1117656.354163354","337867.6153845603-1124656.354163354","13892.443989449805","13892.443989449805"
"291867.6153845603-918656.3541633545","333867.6153845603-931656.3541633545","43965.89587396122","43965.89587396122"
"-232132.38461543934-2028656.3541633522","-220132.38461543934-2034656.3541633522","13416.407864998739","13416.407864998739"
"-291132.3846154393-892656.3541633545","-248132.38461543928-887656.3541633545","43289.72164382673","43289.72164382673"
"602867.6153845603-1197656.3541633538","618867.6153845603-1193656.3541633538","16492.422502470643","16492.422502470643"
"540867.6153845603-879656.3541633545","551867.6153845603-894656.3541633545","18601.075237738274","18601.075237738274"
"220867.61538456043-1174656.3541633538","297867.6153845603-1202656.3541633538","81932.89937503726","81932.89937503726"
"-319132.3846154392-1579656.354163353","-318132.3846154392-1577656.354163353","2236.06797749979","2236.06797749979"
"949867.6153845601-1325656.3541633536","949867.6153845601-1340656.3541633536","15000.0","15000.0"
"-166132.38461543934-2127656.354163352","-153132.38461543934-2170656.354163352","44922.15489043241","44922.15489043241"
"-79132.38461543934-1811656.3541633526","-39132.384615439456-1836656.3541633524","47169.9056602828","47169.9056602828"
"528867.6153845603-1183656.3541633538","529867.6153845603-1190656.3541633538","7071.067811865475","7071.067811865475"
"538867.6153845603-1123656.354163354","558867.6153845603-1098656.354163354","32015.621187164244","32015.621187164244"
"528867.6153845603-1132656.354163354","551867.6153845603-1148656.354163354","28017.851452243798","28017.851452243798"
"238867.61538456043-983656.3541633543","242867.61538456043-977656.3541633543","7211.102550927979","7211.102550927979"
"872867.6153845601-1556656.354163353","884867.6153845601-1552656.354163353","12649.110640673518","12649.110640673518"
"441867.6153845603-1071656.354163354","451867.6153845603-1068656.354163354","10440.30650891055","10440.30650891055"
"949867.6153845601-1340656.3541633536","952867.6153845601-1336656.3541633536","5000.0","5000.0"
"496867.6153845603-1029656.3541633543","513867.6153845603-1032656.3541633543","17262.676501632068","17262.676501632068"
"257867.61538456043-861656.3541633545","275867.6153845604-908656.3541633545","50328.91812864647","50328.91812864647"
"187867.61538456043-945656.3541633543","217867.61538456043-973656.3541633543","41036.56905736638","41036.56905736638"
"-351132.3846154392-2182656.354163352","-282132.3846154393-2211656.354163352","74846.50960465687","74846.50960465687"
"-213132.38461543934-2062656.354163352","-210132.38461543934-2058656.354163352","5000.0","5000.0"
"442867.6153845603-1023656.3541633543","477867.6153845603-982656.3541633543","53907.32788777422","53907.32788777422"
"290867.6153845603-922656.3541633545","337867.6153845603-926656.3541633545","47169.90566028302","47169.90566028302"
"-10132.384615439456-1856656.3541633524","43867.615384560544-1766656.3541633526","104957.13410721521","104957.13410721521"
"220867.61538456043-1174656.3541633538","242867.61538456043-1178656.3541633538","22360.679774997898","22360.679774997898"
"631867.6153845603-2718656.3541633505","631867.6153845603-2719656.3541633505","1000.0","1000.0"
"470867.6153845603-2293656.3541633515","498867.6153845603-2289656.3541633515","28284.2712474619","28284.2712474619"
"344867.6153845603-1040656.3541633543","346867.6153845603-1039656.3541633543","2236.06797749979","2236.06797749979"
"323867.6153845603-939656.3541633545","337867.6153845603-926656.3541633545","19104.9731745428","19104.9731745428"
"-122132.38461543934-956656.3541633543","70867.61538456054-989656.3541633543","195800.91930325545","195800.91930325545"
"-255132.38461543928-2027656.3541633522","-223132.38461543934-2063656.354163352","48166.37831516897","48166.37831516897"
"420867.6153845603-708656.3541633547","484867.6153845603-770656.3541633547","89106.67763978186","89106.67763978186"
"178867.61538456043-1117656.354163354","190867.61538456043-1099656.354163354","21633.307652783937","21633.307652783937"
"122867.61538456054-936656.3541633545","129867.61538456054-931656.3541633545","8602.325267042626","8602.325267042626"
"401867.6153845603-1111656.354163354","407867.6153845603-1124656.354163354","14317.821063276353","14317.821063276353"
"-183132.38461543934-2142656.354163352","-183132.38461543934-2143656.354163352","1000.0","1000.0"
"-182132.38461543934-2131656.354163352","-153132.38461543934-2170656.354163352","48600.411520891466","48600.411520891466"
"-265132.3846154393-830656.3541633545","-265132.3846154393-840656.3541633545","10000.0","10000.0"
"860867.6153845601-1983656.3541633524","867867.6153845601-1961656.3541633524","23086.79276123039","23086.79276123039"
"-84132.38461543934-1822656.3541633526","-83132.38461543934-1826656.3541633524","4123.105625617434","4123.105625617434"
"64867.615384560544-996656.3541633543","70867.61538456054-986656.3541633543","11661.903789690601","11661.903789690601"
"891867.6153845601-1468656.3541633533","898867.6153845601-1457656.3541633533","13038.404810405298","13038.404810405298"
"541867.6153845603-1192656.3541633538","549867.6153845603-1185656.3541633538","10630.145812734649","10630.145812734649"
"257867.61538456043-861656.3541633545","258867.61538456043-925656.3541633545","64007.81202322104","64007.81202322104"
"538867.6153845603-1174656.3541633538","549867.6153845603-1185656.3541633538","15556.349186104046","15556.349186104046"
"-126132.38461543934-951656.3541633543","-29132.384615439456-938656.3541633545","97867.25703727458","97867.25703727458"
"653867.6153845603-1105656.354163354","788867.6153845601-1364656.3541633536","292071.90895394183","292071.90895394183"
"215867.61538456043-1180656.3541633538","256867.61538456043-1273656.3541633538","101636.6075781753","101636.6075781753"
"556867.6153845603-1049656.3541633543","574867.6153845603-1073656.354163354","29999.999999999814","29999.999999999814"
"-315132.3846154392-2186656.354163352","-280132.3846154393-2213656.354163352","44204.07221060064","44204.07221060064"
"291867.6153845603-935656.3541633545","328867.6153845603-905656.3541633545","47634.02145525822","47634.02145525822"
"824867.6153845601-1526656.354163353","828867.6153845601-1534656.354163353","8944.27190999916","8944.27190999916"
"-316132.3846154392-2008656.3541633522","-310132.3846154392-2003656.3541633522","7810.249675906654","7810.249675906654"
"419867.6153845603-1069656.354163354","432867.6153845603-1067656.354163354","13152.946437965906","13152.946437965906"
"419867.6153845603-1069656.354163354","424867.6153845603-1048656.3541633543","21587.033144922676","21587.033144922676"
"976867.6153845601-2670656.354163351","1007867.6153845601-2605656.354163351","72013.88754955532","72013.88754955532"
"328867.6153845603-1037656.3541633543","340867.6153845603-1040656.3541633543","12369.316876852981","12369.316876852981"
"-191132.38461543934-2092656.354163352","-176132.38461543934-2095656.354163352","15297.058540778355","15297.058540778355"
"967867.6153845601-1357656.3541633536","968867.6153845601-1359656.3541633536","2236.06797749979","2236.06797749979"
"1000867.6153845601-1316656.3541633536","1001867.6153845601-1331656.3541633536","15033.296378372908","15033.296378372908"
"524867.6153845603-840656.3541633545","550867.6153845603-744656.3541633547","99458.53407325063","99458.53407325063"
"-13132.384615439456-1881656.3541633524","-11132.384615439456-1883656.3541633524","2828.42712474619","2828.42712474619"
"546867.6153845603-752656.3541633547","550867.6153845603-744656.3541633547","8944.27190999916","8944.27190999916"
"432867.6153845603-735656.3541633547","480867.6153845603-776656.3541633547","63126.85640834652","63126.85640834652"
"-163132.38461543934-2223656.3541633515","-149132.38461543934-2246656.3541633515","26925.824035672522","26925.824035672522"
"431867.6153845603-1050656.3541633543","431867.6153845603-1068656.354163354","17999.999999999767","17999.999999999767"
