ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136
1	0.0	14000.0	254379.63754986343	5099.019513592785	26419.689627245814	6708.203932499369	27202.941017470886	235601.35823037988	236019.0670263735	237697.28648009378	1000.0	12041.594578792296	340825.4685319151	384169.2335416771	160078.10593582076	631400.2620356441	349356.55139126815	636385.2253957685	628935.2344263421	654057.5215328932	652037.5966757888	423095.73384755297	833878.7819925146	442136.8566405647	434607.8692338643	1185336.154137525	1185840.13429365	1245617.3740849723	345579.2239125486	907912.1032958648	1009878.6212745544	622970.6656549434	625069.4742531548	942484.8103751522	1397397.1384590417	626522.0214476987	1450837.5197591598	1154670.0383993662	442718.87242357223	922851.9381284078	1034282.0319987994	1037916.1311891547	1140126.9651217677	830512.8829574736	1404339.3798893094	1078408.2110990293	958618.8811523926	984582.5394528855	1230474.3319369128	1001232.0631515167	1253610.2755580912	1396395.4722947234	1023312.1527281399	1275124.2403627061	1343789.2245000533	1404669.0181726245	1125460.715997964	1237634.7090762816	1074105.146648404	1252115.790189016	1241085.6296282145	1446904.6964631176	1257200.4817934583	1269033.1865741168	1007734.5406986765	1281884.2276433227	1294568.6880665729	1311028.933393263	1321916.1635180549	1361928.7199926113	1349526.5957787896	1164832.6893778048	1449338.284788588	1483705.0198274679	1571035.1782238286	1281276.9258304962	1499327.7249838922	1501485.120899714	1453004.467593269	1561935.670644952	1576776.5885116726	1656481.6969625894	1595113.969942683	1638558.551281949	1599077.0899126234	1669771.4242410548	1631636.9774940764	1964101.1280543755	1575779.850304325	1704469.8149039529	1694111.3372721144	2085211.8731977388	1741092.7619646795	1649416.641331104	1679019.4280964641	1708528.4281125348	1763149.817971866	1721289.6571098983	1687935.304344773	1701741.7578695514	1725450.6433922108	1754099.6525700588	1528067.8655271193	1739765.6406828482	1765783.7384847307	1806772.336054291	1762410.353875974	1780034.7444707234	1813968.5035209092	1800069.0509058733	1813607.5337969756	1806586.9194773245	2262357.049581066	1835895.0681473832	1811259.2797644164	2103733.2334167934	1869929.3666579204	1876371.8005637263	2070707.5880158914	1844537.0006028116	1457895.8701173384	1947630.3390804096	2139913.1897962787	1970123.0213830322	2027177.4346692977	2090942.7455090159	2186787.6876032874	2090126.8512919287	2187858.3651104216	2060404.84718255	2198640.926962898	2185992.802685381	2263350.957082521	2139682.909328793	1959172.0846733337	1874888.3276266656
2	14000.0	0.0	269312.0866207083	11704.699910719624	39849.71769034255	18027.756377319947	39924.92955535426	247163.91322359294	247493.434256345	249018.07163336515	16000.0	2000.0	350907.3951913801	396676.1903618613	172037.78654702532	617321.8210229207	364027.47149082	622306.784383045	614856.7934136186	639979.0805201698	637959.1556630654	434400.7366476251	819800.3409797911	450818.14515389595	420529.4282211409	1171257.7131248014	1171761.6932809264	1231538.933072249	354701.28277185495	893833.6622831414	995800.1802618309	631651.9541682746	633750.762766486	928406.3693624288	1383318.6974463183	635203.30996103	1436759.0787464364	1140591.5973866428	436963.3851937702	908773.4971156844	1020203.590986076	1023837.6901764313	1126048.5241090443	839194.171470805	1390260.938876586	1064329.770086306	967300.1696657238	993263.8279662167	1216395.8909241895	1009913.3516648479	1239531.8345453679	1382317.031282	1031993.4412414712	1261045.7993499828	1329710.78348733	1390590.5771599011	1119705.2287681617	1246315.997589613	1082786.4351617352	1260797.0787023474	1249766.9181415457	1432826.2554503942	1265881.7703067898	1277714.475087448	1001979.0534688744	1290565.5161566539	1303249.9765799043	1319710.2219065942	1330597.4520313863	1370610.0085059425	1358207.8842921208	1150754.2483650814	1458019.5733019193	1492386.308340799	1556956.7372111052	1289958.2143438277	1508009.0134972234	1510166.4094130453	1461685.7561066002	1556180.1834151498	1571021.1012818706	1665162.9854759206	1589358.4827128812	1632803.0640521469	1607758.3784259546	1678452.712754386	1625881.4902642742	1950022.6870416522	1570024.363074523	1698714.3276741507	1688355.8500423122	2071133.4321850154	1735337.2747348773	1643661.154101302	1673263.940866662	1702772.9408827326	1758169.8024991166	1715534.169880096	1682179.8171149713	1695986.2706397492	1719695.1561624086	1748344.1653402566	1522312.378297317	1734010.153453046	1760028.251254929	1801016.848824489	1756654.8666461718	1774279.2572409213	1808213.016291107	1794313.5636760716	1822288.8223103068	1800831.4322475223	2248278.6085683424	1830139.580917581	1805503.7925346142	2089654.79240407	1864173.8794281182	1870616.3133339246	2064952.1007860897	1838781.5133730099	1466577.1586306696	1941874.851850608	2134157.702566477	1964367.53415323	2021421.947439496	2099624.034022347	2181032.2003734857	2084371.3640621265	2196539.6536237528	2054649.3599527478	2207322.2154762293	2180237.315455579	2272032.2455958524	2133927.4220989915	1953416.597443532	1869132.8403968634
3	254379.63754986343	269312.0866207083	0.0	257720.77913897415	233385.94644922367	251097.59058979416	235161.64653276242	190790.46097748136	193940.7125902136	197091.34937891067	249851.95616604624	266655.2080871474	276045.2861397917	231164.44363266553	167737.89077009368	880370.8415320675	113899.07813498721	885355.8048921919	877905.8139227654	903028.1010293165	901008.1761722122	295169.44286290795	1082849.3614889379	381047.24116571073	683578.4487302877	1434306.7336339483	1434810.7137900733	1494587.9535813956	282708.33026283374	1156882.6827922883	1258849.200770978	561881.0501800894	563979.8587783008	1191455.3898715754	1646367.7179554652	565432.4059728447	1699808.099255583	1403640.6178957894	608467.8616326782	1171822.5176248313	1283252.611495223	1286886.710685578	1389097.5446181912	768165.0842959762	1653309.959385733	1327378.7905954528	897448.1259569827	923094.8145220459	1479444.9114333363	939607.343383168	1479859.2603227687	1645366.0517911469	960964.3540666425	1505625.3154425786	1561235.9312802178	1653639.5976690478	1290711.8859770803	1175286.9104147842	1012024.0777640799	1189767.9915275185	1178737.830966717	1695875.275959541	1194852.683131961	1207295.9543948907	1172985.710677793	1219536.4289818252	1232220.8894050755	1248681.1347317656	1259568.3648565575	1299580.921331114	1287178.7971172922	1413803.2688742282	1386990.4861270906	1421470.8095581094	1796477.541923799	1218929.1271689988	1436979.9263223947	1439390.022570355	1391123.0382813339	1595795.9863432543	1742027.7584907892	1594400.628078265	1760365.1399217998	1682074.9202062313	1536729.291251126	1607690.355356731	1702591.4521163474	2185791.830300485	1524851.59289952	1650292.3615696586	1659956.0298134414	2307673.004613434	1687173.3167888932	1814667.8113102205	1781721.8974958425	1750262.816934207	1701068.7490875423	1810319.4719248507	1853186.47432389	1866992.9278486678	1802993.7905154233	1763723.9195165462	1693319.0355062357	1794096.0233851755	1931034.9084638476	1785853.926164694	1790006.4227932175	1855426.0876098904	1829844.267613934	1965320.2208849902	1751259.7351354782	1943464.0960101367	2484713.5382447257	1859693.175733291	1941987.1187612175	2326194.364832489	1955369.5119169285	2041622.9705428432	2235958.7579950085	2009788.1705819285	1395548.071455841	2112881.5090595265	2305164.3597753956	1917063.922211857	2185743.1591626825	2028594.9468475184	2352038.8575824047	2117868.7425300786	2125510.566448924	2055100.0164827816	2136293.1283014007	2215711.3465098366	2201003.1584210237	2304934.07930791	2124423.254652451	1998469.0516826701
4	5099.019513592785	11704.699910719624	257720.77913897415	0.0	25709.920264364882	4000.0	25632.011235952592	233077.24041613284	233430.93196917966	234999.99999999953	5000.0	12041.594578792296	337349.9666518428	382404.23637820705	157841.6928444442	625196.4077222748	350304.1535580185	630181.3710823992	622731.3801129727	647853.6672195239	645833.7423624195	420405.75638304406	827674.9276791452	437922.3675493172	428404.014920495	1179132.2998241556	1179636.2799802807	1239413.519771603	341575.7602641022	901708.2489824954	1003674.766961185	618756.1765636959	620854.9851619073	936280.9560617828	1391193.2841456723	622307.5323564513	1444633.6654457904	1148466.1840859968	435129.8656723062	916648.0838150386	1028078.1776854302	1031712.2768757853	1133923.1108083983	826298.3938662262	1398135.5255759403	1072204.3567856601	954404.392061145	980368.050361638	1224270.4776235437	997017.5740602692	1247406.421244722	1390191.617981354	1019097.6636368925	1268920.386049337	1337585.3701866842	1398465.1638592551	1117871.7092466978	1233420.2199850343	1069890.6575571564	1247901.3010977686	1236871.140536967	1440700.8421497485	1252985.9927022108	1264818.6974828693	1000145.5339474105	1277669.738552075	1290354.1989753256	1306814.4443020155	1317701.6744268076	1357714.2309013638	1345312.106687542	1158628.8350644356	1445123.7956973405	1479490.5307362203	1564831.3239104594	1277062.436739249	1495113.2358926446	1497270.6318084665	1448789.9785020214	1554346.6638936857	1569187.5817604067	1652267.2078713416	1587524.963191417	1630969.544530683	1594862.6008213758	1665556.9351498075	1624047.9707428105	1957897.2737410064	1568190.8435530593	1696880.808152687	1686522.330520848	2079008.0188843696	1733503.7552134132	1641827.634579838	1671430.421345198	1700939.421361269	1756336.2829776525	1713700.6503586322	1680346.2975935072	1694152.7511182853	1717861.6366409448	1746510.6458187927	1520478.8587758532	1732176.6339315823	1758194.7317334649	1799183.329303025	1754821.3471247081	1772445.7377194574	1806379.4967696434	1792480.0441546075	1809393.044705728	1798997.9127260582	2256153.195267697	1828306.0613961173	1803670.2730131503	2097529.3791034245	1862340.3599066543	1868782.7938124605	2063118.5812646255	1836947.9938515457	1453681.3810260908	1940041.3323291438	2132324.183045013	1962534.0146317661	2019588.4279180318	2086728.2564177685	2179198.6808520216	2082537.8445406628	2183643.876019174	2052815.8404312842	2194426.437871651	2178403.795934115	2259136.467991274	2132093.9025775273	1951583.0779220678	1867299.3208753993
5	26419.689627245814	39849.71769034255	233385.94644922367	25709.920264364882	0.0	18681.541692269406	1000.0	206634.94380186475	207086.93826506732	208830.0744624677	21095.023109728987	39395.43120718442	312621.1765060062	355015.4926196879	131015.26628603201	644681.8881016804	322490.3099319417	649666.8514618048	642216.8604923784	667339.1475989295	665319.222741825	394182.6987578214	847160.4080585509	414999.9999999991	447889.4952999006	1198617.7802035613	1199121.7603596863	1258899.0001510088	318127.33299733844	921193.7293619011	1023160.2473405907	595833.8090143779	597932.6176125893	955766.4364411884	1410678.764525078	599222.4965790773	1464119.145825196	1167951.6644654025	436945.076640073	936133.5641944441	1047563.6580648357	1051197.757255191	1153408.591187804	803376.0263169082	1417621.005955346	1091689.8371650656	931482.024511827	957445.68281232	1243755.9580029491	974095.2065109512	1266891.9016241275	1409677.0983607597	996175.2960875744	1288405.8664287424	1357070.8505660896	1417950.6442386606	1119686.9202144647	1210497.8524357162	1046968.2900078385	1224978.9335484505	1213948.7729876488	1460186.322529154	1230063.625152893	1241896.3299335514	1001960.7449151772	1254747.3710027572	1267431.8314260074	1283892.0767526976	1294779.3068774894	1334791.8633520459	1322389.7391382242	1178114.315443841	1422201.4281480226	1456568.1631869022	1584316.8042898648	1254140.0691899308	1472190.8683433267	1474348.2642591486	1425867.6109527033	1556161.8748614527	1571002.7927281733	1629344.8403220237	1589340.1741591836	1632784.7554984498	1571940.233272058	1642634.5676004896	1625863.181710577	1977382.7541204118	1560062.534920452	1685236.5738134172	1688337.541488615	2098493.499263775	1722117.5290326518	1643642.8455476048	1673245.6323129649	1702754.6323290356	1736012.961331301	1715515.861326399	1682161.5085612738	1695967.9620860522	1719676.8476087116	1748325.8567865596	1522294.06974362	1733991.844899349	1760009.9427012315	1800998.5402707919	1756636.5580924747	1774260.9486872242	1808194.70773741	1794295.255122374	1786470.6771564102	1800813.1236938252	2275638.6756471023	1830121.272363884	1805485.4839809171	2117014.85948283	1864155.5708744212	1870598.004780227	2064933.7922323921	1838763.2048193123	1430759.0134767727	1941856.5432969104	2134139.3940127795	1952008.1344556157	2021403.6388857984	2063805.8888684507	2181013.891819788	2084353.0555084294	2160721.508469856	2054631.0513990507	2171504.070322333	2180219.0069018817	2236214.100441956	2133909.113545294	1953398.2888898344	1869114.5318431663
6	6708.203932499369	18027.756377319947	251097.59058979416	4000.0	18681.541692269406	0.0	18681.541692269406	225869.43130932923	226225.5511652028	227800.35118497905	4000.0	18027.756377319947	330255.9613390793	375213.2726863479	150632.0019119439	628322.2295454281	343233.15690649673	633307.1929055525	625857.201936126	650979.4890426771	648959.5641855728	413208.1799771144	830800.7495022985	431040.6013358826	431529.8367436482	1182258.1216473088	1182762.1018034338	1242539.3415947563	334619.18653896614	904834.0708056487	1006800.5887843383	611874.4103502614	613973.2189484728	939406.7778849361	1394319.1059688258	615425.7661430166	1447759.4872689436	1151592.00590915	433278.2016210823	919773.9056381918	1031203.9995085835	1034838.0986989385	1137048.9326315518	819416.6276527916	1401261.3473990937	1075330.1786088133	947522.6258477105	973486.2841482034	1227396.2994466969	990135.8078468347	1250532.2430678753	1393317.4398045074	1012215.8974234578	1272046.2078724902	1340711.1920098374	1401590.9856824083	1116020.0451954738	1226538.4537715996	1063008.891343722	1241019.5348843338	1229989.3743235325	1443826.6639729016	1246104.2264887763	1257936.9312694347	998293.8698961865	1270787.9723386406	1283472.4327618908	1299932.678088581	1310819.9082133728	1350832.4646879293	1338430.3404741075	1161754.6568875888	1438242.029483906	1472608.7645227858	1567957.1457336126	1270180.6705258142	1488231.46967921	1490388.865595032	1441908.212288587	1552494.9998424617	1567335.9177091827	1645385.4416579073	1585673.299140193	1629117.880479459	1587980.8346079413	1658675.1689363727	1622196.3066915865	1961023.0955641596	1566339.1795018353	1695029.144101463	1684670.666469624	2082133.8407075228	1731652.0911621891	1639975.970528614	1669578.757293974	1699087.757310045	1752053.562667184	1711848.9863074082	1678494.6335422832	1692301.0870670613	1716009.9725897207	1744658.9817675687	1518627.1947246292	1730324.9698803583	1756343.0676822409	1797331.665251801	1752969.683073484	1770594.0736682334	1804527.8327184194	1790628.3801033834	1802511.2784922936	1797146.2486748341	2259279.01709085	1826454.3973448933	1801818.6089619263	2100655.2009265777	1860488.6958554303	1866931.1297612365	2061266.9172134015	1835096.3298003217	1446799.6148126563	1938189.6682779198	2130472.518993789	1960682.350580542	2017736.7638668078	2079846.4902043338	2177347.0168007975	2080686.1804894388	2176762.1098057395	2050964.1763800601	2187544.671658216	2176552.131882891	2252254.701777839	2130242.2385263033	1949731.4138708438	1865447.6568241753
7	27202.941017470886	39924.92955535426	235161.64653276242	25632.011235952592	1000.0	18681.541692269406	0.0	205601.55641434187	206021.84350209034	207711.33815947507	22022.71554554524	39824.615503479756	311155.90947304777	354369.86327846744	130096.11831257642	642380.7678745589	323125.36266904185	647365.7312346833	639915.7402652568	665038.0273718081	663018.1025147036	393103.0399271919	844859.2878314294	413208.17997711425	445588.37507277913	1196316.6599764398	1196820.6401325648	1256597.879923887	316412.70518106484	918892.6091347795	1020859.1271134692	594041.988991493	596140.7975897044	953465.3162140669	1408377.6442979565	597593.3447842483	1461818.0255980745	1165650.544238281	433789.11927340826	933832.4439673227	1045262.5378377143	1048896.6370280695	1151107.4709606825	801584.2062940232	1415319.8857282244	1089388.7169379443	929690.2044889422	955653.8627894351	1241454.8377758279	972303.3864880663	1264590.7813970062	1407375.9781336382	994383.4760646895	1286104.7462016211	1354769.7303389683	1415649.5240115393	1116530.9628477998	1208706.0324128312	1045176.4699849536	1223187.1135255655	1212156.952964764	1457885.2023020326	1228271.805130008	1240104.5099106664	998804.7875485125	1252955.5509798722	1265640.0114031225	1282100.2567298126	1292987.4868546044	1333000.043329161	1320597.9191153392	1175813.1952167198	1420409.6081251376	1454776.3431640174	1582015.6840627436	1252348.2491670458	1470399.0483204417	1472556.4442362636	1424075.7909298185	1553005.9174947878	1567846.8353615087	1627553.020299139	1586184.2167925192	1629628.798131785	1570148.413249173	1640842.7475776048	1622707.2243439122	1975081.6338932905	1558270.714897567	1683444.7537905325	1685181.5841219502	2096192.3790366538	1720325.709009767	1640486.88818094	1670089.6749463	1699598.6749623707	1734221.1413084161	1712359.9039597341	1679005.5511946094	1692812.0047193873	1716520.8902420467	1745169.8994198947	1519138.112376955	1730835.887532684	1756853.985334567	1797842.582904127	1753480.6007258098	1771104.9913205593	1805038.750370745	1791139.2977557096	1784678.8571335252	1797657.1663271603	2273337.555419981	1826965.314997219	1802329.5266142522	2114713.7392557086	1860999.6135077563	1867442.0474135627	2061777.8348657277	1835607.247452648	1428967.193453888	1938700.585930246	2130983.436646115	1950216.314432731	2018247.681519134	2062014.0688455654	2177857.9344531237	2081197.0981417645	2158929.688446971	2051475.0940323859	2169712.2502994477	2177063.0495352168	2234422.2804190707	2130753.1561786295	1950242.33152317	1865958.5744765014
8	235601.35823037988	247163.91322359294	190790.46097748136	233077.24041613284	206634.94380186475	225869.43130932923	205601.55641434187	0.0	1000.0	4000.0	230410.50323281658	247842.69204477215	110476.24178980704	150283.06624500314	44553.33881989093	783446.6753379188	173968.38793298052	788431.6386980432	780981.6477286167	805667.6549090443	803647.7300519398	185399.56850003696	985925.1952947893	220617.3157302024	588354.8968698459	1337382.5674397997	1337886.5475959247	1397663.7873872472	118072.01192492615	1059522.2366720159	1161925.034576829	393954.3120718433	397045.33746160433	1094094.9437513032	1549443.5517613164	397416.65792968374	1602447.6531353109	1306280.1717755173	428780.8297953624	1074462.071504559	1185892.1653749505	1189526.2645653058	1291737.0984979188	602837.8327360301	1555949.5132654605	1230018.3444751804	732120.8743970366	757292.104172254	1333122.2941452942	774280.0918232219	1299285.338062492	1548005.6056708745	795637.1025066964	1325051.393182302	1380662.009019941	1556279.1515487754	1110137.9637168036	1009959.6588548382	846696.8262041338	1024440.7399675725	1013410.5794067709	1598514.8298392687	1029525.4315720148	1041742.7512934853	992411.7884175163	1054209.177421879	1066893.6378451295	1083353.8831718194	1094241.1132966115	1134253.6697711677	1121851.545557346	1234245.1790708879	1221663.2345671444	1256143.557998163	1615903.6196635223	1053601.8756090528	1271652.6747624485	1274062.7710104086	1225714.0323126374	1430468.7347833083	1561453.8362305125	1429073.3765183191	1579791.2176615228	1516747.6686462853	1371402.0396911798	1442363.1037967848	1537264.2005564014	2005217.9080402078	1359524.3413395737	1484965.1100097126	1494628.7782534952	2127099.082353157	1521846.065228947	1634093.8890499438	1616394.6459358966	1584935.5653742608	1535741.497527596	1644992.2203649047	1672612.552063613	1686419.005588391	1637666.538955477	1598396.6679566	1512745.113245959	1628768.7718252293	1750460.9862035706	1620526.6746047477	1624679.1712332712	1690098.8360499442	1664517.0160539877	1784746.2986247132	1585932.483575532	1778136.8444501907	2304139.615984449	1694365.9241733449	1776659.8672012715	2145620.442572212	1790042.2603569822	1861049.0482825662	2055384.8357347313	1829214.2483216515	1230220.8198958947	1932307.5867992495	2124590.4375151186	1751736.6706519108	2011854.6823881376	1863267.6952875722	2171464.9353221273	1952541.4909701324	1960183.3148889777	1889772.7649228354	1970965.8767414545	2050384.0949498904	2035675.9068610773	2124360.157047633	1943849.3323921736	1833141.800122724
9	236019.0670263735	247493.434256345	193940.7125902136	233430.93196917966	207086.93826506732	226225.5511652028	206021.84350209034	1000.0	0.0	1000.0	230841.9372644403	248211.6032743026	108300.50784737767	150216.51041080672	45276.92569068708	783480.5518642231	176207.264322445	788465.5152243475	781015.524254921	805701.5314353486	803681.6065782441	184285.10520386582	985959.0718210936	218233.81956058004	588388.7733961502	1337416.443966104	1337920.424122229	1397697.6639135513	115883.56225107987	1059556.1131983201	1161958.9111031333	391256.9488200808	394366.58073421905	1094128.8202776075	1549477.4282876207	394707.4866277549	1602481.5296616151	1306314.0483018216	426057.50785545324	1074495.9480308632	1185926.0419012548	1189560.14109161	1291770.975024223	600662.0987936007	1555983.389791765	1230052.2210014847	729945.1404546072	754594.7409204915	1330398.972205385	772103.8836103727	1296562.0161225828	1548039.4821971788	793461.368564267	1322328.0712423928	1377938.687080032	1556313.02807508	1107414.6417768945	1007783.9249124087	844521.0922617044	1022265.006025143	1011234.8454643415	1598548.706365573	1027279.0867885919	1039045.3880417228	989688.4664776071	1052033.4434794497	1064717.9039027	1081081.133620001	1092065.379354182	1132077.9358287384	1119675.8116149167	1231521.8571309787	1219487.5006247151	1253717.2212950739	1613180.2977236132	1051426.1416666233	1269476.9408200192	1271497.32236732	1223016.669060875	1428293.0008408788	1558730.5142906033	1426897.6425758898	1577067.895721614	1514571.9347038558	1369226.3057487505	1440187.3698543552	1535088.4666139719	2002494.5861002987	1357348.1331267245	1482789.3760672833	1492452.570040646	2124375.760413248	1519670.3312865174	1631370.5671100346	1614218.911993467	1582759.3571614115	1533565.7635851665	1642816.4864224752	1669889.230123704	1683695.683648482	1635490.3307426278	1596220.4597437507	1510021.7913060498	1626592.56361238	1747737.6642636617	1618350.4663918985	1622502.963020422	1687922.627837095	1662340.8078411384	1782022.9766848043	1583756.7496331027	1775961.1105077611	2301416.29404454	1692189.7159604956	1774484.133258842	2142897.120632303	1787866.052144133	1858325.7263426573	2052661.5137948224	1826490.9263817426	1228045.0859534652	1929584.2648593406	2121867.1155752097	1749560.9367094813	2009131.3604482287	1861091.9613451432	2168741.6133822184	1950365.7570277029	1958007.5809465484	1887597.0309804059	1968790.1427990252	2048208.3610074609	2033500.172918648	2121636.835107724	1941126.0104522647	1830965.5919098747
10	237697.28648009378	249018.07163336515	197091.34937891067	234999.99999999953	208830.0744624677	227800.35118497905	207711.33815947507	4000.0	1000.0	0.0	232544.6193744327	249803.92310770415	103585.71330062808	149264.86525636233	47507.89408087881	785711.5202544149	178474.08775505758	790696.4836145393	783246.4926451128	807932.4998255403	805912.574968436	181400.11025354947	988190.0402112853	213122.03077110497	590619.741786342	1339647.4123562956	1340151.3925124207	1399928.6323037432	111139.55191559803	1061787.0815885118	1164189.879493325	385648.8039654723	388785.28778748726	1096359.7886677994	1551708.3966778123	389082.2535145998	1604712.4980518068	1308545.0166920135	421390.55518604064	1076726.916421055	1188157.0102914467	1191791.1094818017	1294001.943414415	595728.1157674864	1558214.358181957	1232283.1893916766	724868.3170426365	748986.5960658831	1325732.0195359725	766495.7387557642	1291895.0634531702	1550270.4505873707	787961.1819904335	1317661.1185729802	1373271.7344106194	1558543.9964652713	1102747.6891074819	1002849.9418862944	839533.7450732718	1017331.0229990287	1006009.4174854592	1600779.674755765	1021670.9419339835	1033437.2431871144	985021.5138081945	1046548.3433011754	1059783.9208765856	1075472.9887653925	1087131.3963280676	1127143.952802624	1114070.28493793	1226854.9044615661	1214553.5175986008	1248109.0764404654	1608513.3450542006	1046492.158640509	1264542.957793905	1265889.1775127116	1217408.5242062665	1423359.0178147645	1554063.5616211907	1421910.2953874571	1572400.943052201	1509637.9516777415	1363741.2055704761	1435200.0226659228	1530154.4835878576	1997827.633430886	1351739.988272116	1477802.0288788506	1486844.4251860376	2119708.8077438353	1514682.984098085	1626703.614440622	1609284.9289673527	1577151.212306803	1528578.416396734	1637644.1180233408	1665222.2774542912	1679028.7309790694	1629882.1858880194	1590612.3148891423	1505354.8386366372	1620984.4187577716	1743070.711594249	1612742.32153729	1616894.8181658136	1682314.4829824865	1656732.66298653	1777356.0240153915	1578271.6494548284	1771027.1274816468	2296749.3413751274	1686581.5711058872	1769418.6867582377	2138230.16796289	1782257.9072895246	1853658.7736732445	2047994.5611254096	1821823.9737123298	1222544.899379632	1924917.3121899278	2117200.162905797	1744573.5895210486	2004464.4077788158	1856157.9783190289	2164074.6607128056	1945378.4098392704	1952522.480768274	1882609.6837919736	1963305.0426207508	2043221.0138190286	2028015.0727403737	2116969.8824383114	1936459.0577828519	1825357.4470552662
