"ID1","ID2","Dist","DistM","BC_d654500_p1.0E-10_beta0_Clunulatus"
"2","21","635406.1693121961","635406.1693121961","1.9576342799986178E-10"
"2","20","636180.0059731515","636180.0059731515","1.905127757325054E-10"
"2","18","617252.7845218676","617252.7845218676","3.7076139688555426E-10"
"2","19","608067.4304713246","608067.4304713246","5.121954843341017E-10"
"2","16","609764.7087196824","609764.7087196824","4.828903566900262E-10"
"2","25","420529.4282211409","420529.4282211409","3.756632342393147E-7"
"2","39","436963.3851937702","436963.3851937702","2.10720541595244E-7"
"2","10","249018.07163336515","249018.07163336515","1.5678085306582853E-4"
"2","15","172037.78654702532","172037.78654702532","0.002352135791352805"
"2","7","39924.92955535426","39924.92955535426","0.24546718201283307"
"2","5","39849.71769034255","39849.71769034255","0.24611755206405544"
"2","6","18027.756377319947","18027.756377319947","0.5303429697959641"
"2","4","11704.699910719624","11704.699910719624","0.6624693299968927"
"2","36","604632.9465055625","604632.9465055625","5.779771540070543E-10"
"2","33","606290.3594813284","606290.3594813284","5.452395196144286E-10"
"2","32","602100.4899516345","602100.4899516345","6.322321824951941E-10"
"2","24","450818.14515389595","450818.14515389595","1.2942620835675977E-7"
"2","29","354701.28277185495","354701.28277185495","3.8069421332585697E-6"
"2","22","434400.7366476251","434400.7366476251","2.3060098953822398E-7"
"2","13","350907.3951913801","350907.3951913801","4.350533050079877E-6"
"2","14","396676.1903618613","396676.1903618613","8.694576407509363E-7"
"2","9","247493.434256345","247493.434256345","1.654198839827092E-4"
"2","8","247163.91322359294","247163.91322359294","1.6734872605807526E-4"
"2","17","364027.47149082","364027.47149082","2.742097806226677E-6"
"2","3","269312.0866207083","269312.0866207083","7.677574501050543E-5"
"2","11","16000.0","16000.0","0.0"
"2","12","2000.0","2000.0","0.9320566778924458"
"1","21","649707.6265521278","649707.6265521278","1.1836461815926945E-10"
"1","20","650576.6672729658","650576.6672729658","1.1480474473520337E-10"
"1","18","631772.110812118","631772.110812118","2.2246211597558275E-10"
"1","19","622656.4060539322","622656.4060539322","3.0657246015831214E-10"
"1","16","624387.7000710369","624387.7000710369","2.886863203058877E-10"
"1","25","434607.8692338643","434607.8692338643","2.289267075781944E-7"
"1","39","442718.87242357223","442718.87242357223","1.720955783703932E-7"
"1","10","237697.28648009378","237697.28648009378","2.3348633851902342E-4"
"1","15","160078.10593582076","160078.10593582076","0.0035825513389723166"
"1","7","27202.941017470886","27202.941017470886","0.38403486062757"
"1","5","26419.689627245814","26419.689627245814","0.39476425446828217"
"1","6","6708.203932499369","6708.203932499369","0.7897805487295029"
"1","4","5099.019513592785","5099.019513592785","0.835781786655457"
"1","36","598445.4862391381","598445.4862391381","7.185349216775013E-10"
"1","33","599941.6638307414","599941.6638307414","6.816917278428475E-10"
"1","32","595829.6736484332","595829.6736484332","7.882924924396835E-10"
"1","24","442136.8566405647","442136.8566405647","1.7565569557416597E-7"
"1","29","345579.2239125486","345579.2239125486","5.247479400113914E-6"
"1","22","423095.73384755297","423095.73384755297","3.4323256202751413E-7"
"1","13","340825.4685319151","340825.4685319151","6.202726107758277E-6"
"1","14","384169.2335416771","384169.2335416771","1.3500200099096196E-6"
"1","9","236019.0670263735","236019.0670263735","2.476867184052614E-4"
"1","8","235601.35823037988","235601.35823037988","2.5135343494979255E-4"
"1","17","349356.55139126815","349356.55139126815","4.59449268790054E-6"
"1","3","254379.63754986343","254379.63754986343","1.2982983996892255E-4"
"1","11","1000.0","1000.0","1.534989641710994"
"1","2","14000.0","14000.0","1.180636265312712"
"1","12","12041.594578792296","12041.594578792296","0.6546639362798041"
"4","21","643616.3453486861","643616.3453486861","1.4665254532355285E-10"
"4","20","644546.3520957971","644546.3520957971","1.419371402553309E-10"
"4","18","625825.8543716448","625825.8543716448","2.742255760268439E-10"
"4","19","616760.0830144564","616760.0830144564","3.7724379772441244E-10"
"4","16","618515.9658408174","618515.9658408174","3.549273656918596E-10"
