"","panmixia","n_island","dongsha_sink","dongsha_source","stepping_stone","k-means p-value","Best Mean","Second Best Mean","p-value Best Mean > Second Mean","Log Bayes Factor"
"a_japonicus","-986.986782","-1031.336576","-987.048429","-985.347839333333","-991.761059666667","0.001","dongsha_source","panmixia","0.139","3.27788533333319"
"c_auriga","-1192.138332","-1216.90070766667","-1195.25653633333","-1194.982629","-1201.78335233333","0.001","panmixia","dongsha_source","0.202","5.68859399999974"
"c_lunulatus","-1050.49378033333","-1073.99187533333","-1024.51947533333","-1025.09877033333","-1028.07996066667","0.001","dongsha_sink","dongsha_source","0.244","1.15859"
"c_striatus","-1595.76982766667","-1596.24958166667","-1579.87640333333","-1572.11968666667","-1579.48253266667","0.001","dongsha_source","stepping_stone","0.047","14.725692"
"c_vroliki","-1194.68397766667","-1225.16660666667","-1192.37135933333","-1190.209846","-1192.23260433333","0.001","dongsha_source","stepping_stone","0.047","4.04551666666657"
"d_aruanus","-1862.75390233333","-1863.39450766667","-1864.03101566667","-1861.77167766667","-1861.746335","0.357","stepping_stone","dongsha_source","0.503","0.0506853333331492"
"l_kasmira","-839.282441666667","-838.868585666667","-838.846863333333","-838.838970666667","-838.859087","0.014","dongsha_source","dongsha_sink","0.46","0.0157853333332696"
"n_plicata","-2295.09209766667","-2334.40214233333","-2303.78005333333","-2299.25180866667","-2303.051863","0.001","panmixia","dongsha_source","0.047","8.31942200000049"
"p_coelestis","-1420.507823","-1495.67436733333","-1587.21783166667","-1479.51962","-1484.78696666667","0.001","panmixia","dongsha_source","0.047","118.023594"
