vertex,Ajaponicus_BC,Ajaponicus_rank,Cauriga_BC,Cauriga_rank,Clunulatus_BC,Clunulatus_rank,Cstriatus_BC,Cstriatus_rank,Cvroliki_BC,Cvroliki_rank,Daruanus_BC,Daruanus_rank,Lkasmira_BC,Lkasmira_rank,Nplicata_BC,Nplicata_rank,Pcoelestis_BC,Pcoelestis_rank
1,3.097246758361437,94,1.7466750396601842,99.5,17.2489779177891,73,2.272606555765375,96,19.43749151009346,64.5,34.50349950478705,50.5,1.9353221942869276,96,0,58,3.4422416889342644,98.5
2,7.188820755294889,78,1.7466750396601842,99.5,9.318168425350288,89,5.3866278404934045,79,19.43749151009346,64.5,34.50349950478705,50.5,5.832936471809041,81,0,58,3.4422416889342644,98.5
3,0.8250011350516542,105,0.9174020153240837,109,1.7588824703608974,104.5,0.209010987889835,109,0.125,109,0,111.5,0.3844175017410112,108,0,58,0.7111842338531837,109
4,1.0453197069897184,104,0.9174020153240837,109,8.215840450704512,93.5,0.48345417395570955,106,0.125,109,0,111.5,0.8724886223570756,105,0,58,0.7111842338531837,109
5,2.854091981996236,95,1.7466750396601842,99.5,8.215840450704512,93.5,2.2843416710506514,95,0.125,109,0.49999999999999994,102.5,2.445864037307483,94,0,58,5.723275669870548,94
6,0.3338974042725132,110,0.9174020153240837,109,0,113,0.0732554939449175,113,0,113,0,111.5,0.07293004843281901,113,0,58,0.7111842338531837,109
7,43.90675785922537,18,127.58484990812532,8,103.0037127534283,19,67.18089584806738,14,215.0228192981404,11,252.1433177146001,13,56.51088218428486,14,0,58,88.15325513250316,16
8,4.6319646748439585,86,1.7466750396601842,99.5,20.852110010910234,66,4.609555856486696,83,201.1590699289613,14,0.49999999999999994,102.5,4.631252563379498,86,0,58,17.098940572873136,71.5
9,6.695724212358896,79,3.690950864365617,91,73.36914600299023,25,6.414077063823552,75,201.1590699289613,14,399.7511710429608,8.5,10.028167030763449,68,0,58,17.098940572873136,71.5
10,0,115,0,114,1.7588824703608974,104.5,0,115,0,113,0,111.5,0,115,0,58,0,115
11,0.4525640231092214,109,4.138874139934862,86.5,3.9143882834734525,100,0.207815734989648,111,0.21978021978021978,105,7.382907728050305,84,0.207815734989648,111,0,58,5.081361787075887,95
12,13.017978177851491,50,8.98418677906617,72,92.51254034082422,22,12.51368633814525,54,201.1590699289613,14,399.7511710429608,8.5,12.855982316843352,51,0,58,26.023220212062842,56
13,0.12179487179487178,113.5,1.4670406163033904,104.5,0,113,0.207815734989648,111,0.21978021978021978,105,3.2028892160471103,99.5,0.207815734989648,111,0,58,0.06707872144951714,113.5
14,72.39812161833007,9,123.34292470826088,11,403.31479439123854,3,85.10067072768962,8,259.10534325647774,10,244.19897260299044,14,80.20382291141925,7,0,58,325.6006923988339,3
15,13.062237462696643,49,4.138874139934862,86.5,96.96406210772456,21,6.310982875775547,77,62.56125888866354,44,140.77635017124453,28,9.21749257742147,72,0,58,28.958747514444866,52.5
16,3.982140330991216,89,4.138874139934862,86.5,15.131207742989282,77,1.094055214065278,101,81.97641520540533,39,16.903761712873642,70,5.299043331747831,82,0,58,28.958747514444866,52.5
17,0.1711484409310496,111.5,0,114,0.13333333333333333,109.5,0.03571428571428571,114,0.3894230769230769,103,0.47606837606837604,104.5,0.03571428571428571,114,0,58,0.15762902862294342,111
18,1.0501956683267382,103,4.138874139934862,86.5,28.42462335160888,54,1.050136943277804,103,3.8923351646495217,91,8.889903510046082,79,1.4282680626564193,101,0,58,8.456022818500696,88
19,0.12179487179487178,113.5,1.4670406163033904,104.5,0,113,0.207815734989648,111,0.21978021978021978,105,3.2028892160471103,99.5,0.207815734989648,111,0,58,0.06707872144951714,113.5
20,1.9027913563570211,101,2.377342774269277,95,13.771527780238147,81,0.6195287123041292,105,4.5978907202050765,90,17.99100225011419,69,0.5961884282403901,107,0,58,6.034900095404432,93
21,0.1711484409310496,111.5,0,114,0.13333333333333333,109.5,0.3970532305118771,107,1.1709747161549269,101,0.47606837606837604,104.5,0.3840011614401858,109,0,58,2.6364697367087286,103
22,14.448444758206154,47,4.138874139934862,86.5,60.1680901641711,32,8.236103355746165,72,93.7154657395129,33,3.4825729825729828,98,10.90625088038954,65,0,58,18.155176063218793,68
23,19.30705578404636,40,4.138874139934862,86.5,60.1680901641711,32,12.203517590691941,56,123.0377848108106,22,261.9632667749397,12,14.948352454826356,41,0,58,34.262350436115284,43.5
24,18.24931582038633,43,5.678018962311312,80.5,41.90884659767953,46,10.834505184062623,63.5,123.0377848108106,22,150.33324587735416,24.5,12.811304118026825,52,0,58,18.155176063218793,68
25,19.822456010707427,37,6.873842393029541,74,119.33805456610479,14,16.275511413315645,36,187.48515755352562,16,203.87760658822535,16,19.3399047755637,36,0,58,34.262350436115284,43.5
26,16.620530494109577,44,5.678018962311312,80.5,60.1680901641711,32,10.834505184062623,63.5,123.0377848108106,22,150.33324587735416,24.5,13.574748380290377,47,0,58,18.155176063218793,68
