"","ProbSource","Mode_Out_over_In","Mean","SD","lower","upper","ess"
"sum_out",0.00832016640332807,71.3636679903991,508307.118001738,292584.365319353,83847,958053,247.85889675699
"sum_in",0.00832016640332807,71.3636679903991,21889.9961169772,82564.2403365889,0.07403,96946,252.388701750578
"out_over_in",0.00832016640332807,71.3636679903991,576.71475323277,43814.8474138755,0.000382693608731446,752.145643693108,278890.180018718
