"","ProbSource","Mode_Out_over_In","Mean","SD","lower","upper","ess"
"sum_out",0.279427810778438,0.326674340523303,463726.064268662,278096.999013925,24677,954410,299.560324965355
"sum_in",0.279427810778438,0.326674340523303,264826.118764819,322938.535033909,0.02852,907421,149.3475783354
"out_over_in",0.279427810778438,0.326674340523303,309.674382892774,34119.7169232971,1.13214724109808e-05,366.887856668879,319007.235761209
