"ID1","ID2","Dist","DistM","BC_d10000_p0.5_beta0_Cauriga","BC_d20000_p0.5_beta0_Cauriga","BC_d30000_p0.5_beta0_Cauriga","BC_d40000_p0.5_beta0_Cauriga","BC_d50000_p0.5_beta0_Cauriga","BC_d60000_p0.5_beta0_Cauriga","BC_d70000_p0.5_beta0_Cauriga","BC_d80000_p0.5_beta0_Cauriga","BC_d90000_p0.5_beta0_Cauriga","BC_d100000_p0.5_beta0_Cauriga","BC_d110000_p0.5_beta0_Cauriga","BC_d120000_p0.5_beta0_Cauriga","BC_d130000_p0.5_beta0_Cauriga","BC_d140000_p0.5_beta0_Cauriga","BC_d150000_p0.5_beta0_Cauriga","BC_d160000_p0.5_beta0_Cauriga","BC_d170000_p0.5_beta0_Cauriga","BC_d180000_p0.5_beta0_Cauriga","BC_d190000_p0.5_beta0_Cauriga","BC_d200000_p0.5_beta0_Cauriga"
"103","90","414.80823519999865","414808.22458921315","2.8331128082991377","2.9152113907292954","2.943170803335402","2.9572636555744047","2.9657558225269467","2.9714325149560454","2.975494781879972","2.9785455833416137","2.9809208623927548","2.9828226202224157","2.9843796192964014","2.985677817052358","2.9867767883343332","2.987719125945743","2.9885360891080976","2.9892511380381737","2.9898822234049405","2.9904433140075417","2.9909454428509625","2.991397439907083"
"104","90","275.97770959999957","275977.7054234135","0.9810524871467534","0.9904809372959953","0.9936438473027648","0.99522908784661","0.9961814458649242","0.9968168574531456","0.997270970998353","0.9976116919155519","0.9978767775512357","0.9980888967746933","0.998262482404422","0.9984071601571904","0.9985295961714654","0.9986345532767996","0.9987255250252175","0.9988051321031305","0.9988753789119635","0.9989378246673992","0.9989937004945048","0.9990439914111356"
"105","90","855.6610511999982","855661.0383315993","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"106","90","764.7199247999971","764719.9128346452","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"107","90","430.69848559999963","430698.48480983474","1.8514996801626733","1.9237532132365964","1.9487130760545197","1.9613621743801493","1.969006428028253","1.9741255829041404","1.977793429434164","1.9805505168582693","1.982698602047599","1.9844193950670093","1.9858288558574504","1.9870044659288584","1.9879999658623888","1.9888538013000705","1.9895942027929712","1.9902423671813594","1.9908145197256215","1.9913232909356635","1.9917786598554588","1.9921886151308534"
"108","90","421.7645055999983","421764.50198781706","3.7115299975161102","3.8524989222861006","3.9009236050523324","3.9254119496312994","3.940194184540964","3.9500863981399177","3.9571706457055873","3.962493909098194","3.9666402083903174","3.9699610228365163","3.9726805516216785","3.9749485451538487","3.9768688385453794","3.978515696421384","3.979943639736807","3.9811935980656163","3.9822968963309675","3.9832779159983716","3.9841559179124233","3.984946319531225"
"109","90","787.7392656000022","787739.2488184009","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"110","90","331.6295159999993","331629.5090390225","0.9772753774680674","0.9885723936404796","0.9923670115490253","0.9942697791044841","0.9954131904090839","0.9961761950322972","0.9967215563852077","0.9971307733213753","0.9974491693116695","0.9977039593031011","0.9979124722503512","0.9980862663278646","0.9982333464957193","0.9983594324616799","0.9984687198476478","0.9985643561240184","0.9986487486809182","0.9987237702746788","0.9987908996357641","0.9988513199185858"
"111","90","714.6854400000004","714685.4249492383","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"113","90","525.1421359999998","525142.1356237307","0.9642544382578359","0.9819645809589244","0.9879399527019315","0.9909412600951302","0.9927464193076525","0.993951685295584","0.9948134853549196","0.9954603257263095","0.9959637145529501","0.996366608888341","0.9966963709312823","0.9969712560026913","0.9972039102765851","0.997403371437514","0.9975762700483796","0.9977275809189147","0.9978611095697765","0.9979798167062047","0.9980860403246382","0.9981816512480788"
"114","90","742.6803920000032","742680.3743153552","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"115","90","609.9036919999974","609903.6790187182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"92","91","11.4142136","11414.213562373096","0.9992091398973176","0.9996044917352651","0.9997363104397","0.9998022263104164","0.9998417779189309","0.9998681465271808","0.9998869816731216","0.9999011082654207","0.9999120957529698","0.9999208858299395","0.9999280777685718","0.9999340710902799","0.9999391423905521","0.9999434892398278","0.999947256524485","0.999950552910203","0.9999534614948608","0.9999560469105478","0.9999583601828815","0.9999604421325573"
"93","91","235.32590319999986","235325.9018078049","0.9838207642914151","0.9918773937798033","0.9945775718481346","0.9959304161334783","0.9967430058241641","0.9972851005846496","0.9976724916248192","0.9979631336544844","0.9981892471023698","0.9983701747469043","0.998518230848177","0.9986416277046785","0.9987460523400934","0.9988355678613068","0.9989131544694534","0.9989810476953427","0.9990409573149969","0.9990942133264359","0.9991418658483316","0.9991847550612971"
"94","91","107.50967039999985","107509.66799187809","0.9925756948356134","0.9962809316832343","0.9975190817464709","0.9981387336854703","0.9985107095968451","0.9987587705479591","0.9989359946709323","0.9990689334002286","0.9991723424207416","0.9992550773435405","0.9993227746486675","0.9993791925730489","0.99942693330455","0.999467855746713","0.9995033232186312","0.9995343582890128","0.9995617429749091","0.9995860855477839","0.999607866247068","0.9996274692822024"
"95","91","180.87005839999995","180870.05768508904","1.9154296009703753","1.957020714672059","1.9711903888743951","1.9783336504777402","1.9826384403687787","1.9855161792809013","1.9875755762596699","1.989122243825478","1.9903264653866035","1.9912906359400873","1.9920800276915251","1.9927382152882958","1.9932953998279006","1.9937731738586961","1.994187384579861","1.9945499255585992","1.9948698973053334","1.9951543817003023","1.9954089722894186","1.995638145753989"
