"ID1","ID2","Dist","DistM"
"5","1","286.36248640000036","286362.48173426394"
"6","1","392.48737999999884","392487.3734152918"
"7","1","625.9482727999978","625948.2681718918"
"8","1","264.7523112000003","264752.3086789976"
"9","1","183.26702960000028","183267.02730475884"
"10","1","164.7523111999999","164752.30867899736"
"27","1","651.0538255999993","651053.8238691618"
"12","1","171.46803920000013","171468.0374315355"
"14","1","466.61941999999806","466619.4077712564"
"2","1","44.0","44000.00000000023"
"3","1","370.6051271999997","370605.1224213832"
"4","1","350.94827279999976","350948.2681718908"
"5","2","295.4457488000001","295445.7428549493"
"6","2","401.57064239999863","401570.63453597727"
"7","2","558.019340799998","558019.3359837569"
"8","2","273.8355736000002","273835.569799683"
"9","2","192.3502920000002","192350.2884254442"
"10","2","174.63456400000004","174634.55967290612"
"27","2","660.1370879999986","660137.0849898474"
"12","2","180.55130160000004","180551.29855222086"
"14","2","426.0508759999984","426050.8652763324"
"3","2","379.6883895999995","379688.38354206877"
"4","2","360.03153519999955","360031.52929257636"
"5","3","72.55634959999996","72556.34918610405"
"6","3","39.59798079999999","39597.97974644666"
"8","3","140.14213599999997","140142.13562373095"
"9","3","178.68124319999993","178681.24086713206"
"10","3","538.7716519999989","538771.6446627537"
"27","3","658.9360783999983","658936.0748630707"
"12","3","156.32590319999986","156325.90180780453"
"14","3","642.0975551999969","642097.5464705589"
"4","3","2.4142136","2414.213562373095"
"5","4","57.04163119999994","57041.630560342615"
"6","4","45.84062159999998","45840.62043356595"
"8","4","124.62741759999994","124627.41699796953"
"9","4","159.02438879999985","159024.38661763968"
"10","4","519.1147975999988","519114.7904132613"
"27","4","639.2792239999984","639279.2206135783"
"12","4","136.66904879999987","136669.04755831216"
"14","4","622.4407007999969","622440.6922210664"
"6","5","84.91168959999987","84911.68824543142"
"8","5","43.0","43000.0"
"9","5","94.43860239999988","94438.60018001277"
"10","5","454.52901119999893","454529.00397563435"
"27","5","568.8355735999983","568835.5697996824"
"12","5","66.22539839999992","66225.39674441618"
"28","5","708.5046223999976","708504.6173579945"
"14","5","557.8549143999969","557854.9057834395"
"30","5","726.977709599998","726977.7054234133"
"8","6","151.66904879999987","151669.04755831213"
"9","6","200.563496","200563.49186104062"
"10","6","560.6539047999995","560653.8956566623"
"27","6","680.8183311999975","680818.3258569794"
"12","6","178.20815599999978","178208.1528017131"
"14","6","663.979807999997","663979.7974644674"
"22","7","584.6438087999984","584643.7943888957"
"23","7","567.0580223999984","567058.0079512687"
"24","7","694.8103336000011","694810.3166302663"
"25","7","476.84986639999755","476849.8551495555"
"26","7","622.9697119999998","622969.6961967002"
"38","7","688.2102543999965","688210.2448427663"
"8","7","720.8700583999996","720870.0576850902"
"9","7","639.3847767999998","639384.7763108513"
"11","7","662.7787984","662778.7873376907"
"12","7","609.9411263999996","609941.1254969555"
"14","7","293.8721568000001","293872.1497261423"
