ID,Area,Perim,Capacity,Ajaponicus_BC,Ajaponicus_rank,Cauriga_BC,Cauriga_rank,Clunulatus_BC,Clunulatus_rank,Cstriatus_BC,Cstriatus_rank,Cvroliki_BC,Cvroliki_rank,Daruanus_BC,Daruanus_rank,Lkasmira_BC,Lkasmira_rank,Nplicata_BC,Nplicata_rank,Pcoelestis_BC,Pcoelestis_rank
72,3.32E+08,80000,3.32E+08,11.62251547,53,33.35687994,34,51.04914894,41.5,12.84100499,53,120.0947434,25,103.2267535,34,12.55336568,53.5,0,58,44.03388637,36
73,3.23E+09,456000,3.23E+09,47.13511878,15,72.4610983,17,211.9910022,8,41.18600543,20,205.8252445,12,180.7503414,18.5,34.98557919,20,0,58,144.8999107,13
74,4.92E+08,106000,4.92E+08,9.747180105,66,2.850260511,93,0,113,3.571613482,88,0,113,0,111.5,7.128841225,77,0,58,2.992772278,102
75,1.36E+09,202000,1.36E+09,15.79533148,45,40.70444186,26.5,52.90879003,38,14.25378242,47,102.7492679,30,55.88959722,48,12.55336568,53.5,0,58,50.31974421,30
76,3.36E+08,78000,3.36E+08,19.64441664,38.5,39.21980704,28,14.18316109,78,15.72408899,38.5,3.592598795,93,7.562134398,83,14.01178049,44,0,58,48.86750018,32
77,7.08E+08,130000,7.08E+08,24.5452562,29.5,43.1229063,25,52.38263028,39,30.63531795,27,8.369234657,79,24.8039806,63,29.73681528,27,0,58,37.02254641,40
78,3.25E+08,84000,3.25E+08,10.87685152,56.5,37.33393874,31,42.80083879,43,15.72408899,38.5,3.592598795,93,7.129682036,87.5,14.01178049,44,0,58,40.8925248,38
79,4.49E+08,100000,4.49E+08,9.791192879,65,32.42056632,36,52.16071164,40,9.971705586,67.5,98.96764529,32,30.54610864,58,11.03455497,62.5,0,58,35.33521236,41.5
80,6.86E+08,120000,6.86E+08,8.634030961,73,25.32914983,43,41.94646289,45,8.818102801,69.5,67.37142468,43,24.79733606,64,8.944069838,73,0,58,35.33521236,41.5
81,3.54E+08,86000,3.54E+08,19.64441664,38.5,46.23538051,23,34.3632108,51,14.73766008,43,9.096110963,76.5,30.60619705,56.5,16.98400551,40,0,58,18.10783718,70
82,6.67E+08,124000,6.67E+08,24.5452562,29.5,38.29618541,30,40.45796695,47,29.48698428,30,42.45932668,49,30.60619705,56.5,28.75909644,31,0,58,25.55824676,59
83,3.93E+08,92000,3.93E+08,10.87685152,56.5,31.34084522,38,18.85015893,67,15.72408899,38.5,7.304076155,81,8.501939479,80,14.01178049,44,0,58,43.27073161,37
84,4.29E+08,94000,4.29E+08,10.87685152,56.5,28.38732462,41,36.80074964,49,12.41566166,55,3.592598795,93,7.129682036,87.5,12.46630157,56.5,0,58,32.33987847,47
85,3.84E+08,92000,3.84E+08,10.87685152,56.5,28.3858503,42,24.83167906,56,15.72408899,38.5,7.304076155,81,13.61929541,74.5,14.01178049,44,0,58,33.51945558,45
86,8.62E+08,132000,8.62E+08,23.84470144,32,19.11355036,49.5,54.52809412,36,28.61557541,31,156.0248008,19,99.85662795,35,27.87330265,32,0,58,82.17866532,19
87,4.35E+08,100000,4.35E+08,10.87685152,56.5,23.18028305,45,30.24137229,53,14.05185597,48,7.304076155,81,7.129682036,87.5,14.01178049,44,0,58,29.75282927,51
88,4.77E+08,98000,4.77E+08,9.686542118,69,18.60529149,52,42.17978068,44,9.971705586,67.5,9.476907138,75,6.358712931,91,11.03455497,62.5,0,58,31.82938771,49.5
89,4.81E+08,96000,4.81E+08,10.87685152,56.5,23.1811104,44,7.371146523,96,14.73766008,43,5.455708436,87,14.30415593,73,13.13636344,48.5,0,58,25.95503563,57
90,9.59E+08,150000,9.59E+08,19.87975153,36,40.70444186,26.5,58.97569074,34,22.77981773,34,18.05884206,67,6.085471669,92,24.14451651,34,0,58,62.44561496,24
91,1.40E+09,204000,1.40E+09,9.686542118,69,18.60427792,53,31.08155954,52,13.10542706,51.5,23.48096657,62,7.129682036,87.5,12.46630157,56.5,0,58,31.82938771,49.5
92,6.00E+08,112000,6.00E+08,9.686542118,69,16.1798438,54,21.51377899,64,13.10542706,51.5,15.66756385,71,13.61929541,74.5,11.62659881,59,0,58,27.43242879,55
93,2.65E+09,302000,2.65E+09,10.2217513,63,30.15408938,40,23.32072386,61,13.34175284,50,28.72617228,59.5,88.29674014,39.5,12.49565964,55,0,58,18.19763767,66
94,1.38E+09,396000,1.38E+09,5.907436584,80,21.11743812,47,56.43613176,35,7.0704517,74,120.0089843,26,209.7855059,15,6.860957904,78,0,58,32.30446546,48
